Move Name,Input,Damage,Startup,Active,Recovery,Total,Block Advantage,Hit Advantage,Counterhit Advantage,Punishable by First Character,Punishable by Second Character
DASH (FORWARD),PP,,20,,,,,,,,
DASH (BACKWARD),4PP,,34,,,,,,,,
AIR-DASH (FORWARD),8>PP,,33,,,,,,,,
AIR-DASH (BACKWARD),8>4PP,,34,,,,,,,,
JUMP (FORWARD),9,,4,42,6,51,,,,,
JUMP (NEUTRAL),8,,4,42,6,51,,,,,
JUMP (BACKWARD),7,,4,42,6,51,,,,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,,,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,,,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,,,,
JUMP (FORWARD) (AIR),8>9,,,,,,,,,,
JUMP (NEUTRAL) (AIR),8>8,,,,,,,,,,
JUMP (BACKWARD) (AIR),8>7,,,,,,,,,,
THROW,4/6HP,840(6 HITS),3,1,,,,,,,
THROW (AIR) (FORWARD),8>6HP,940(4 HITS),3,1,,,,,,,
THROW (AIR) (BACKWARD),8>4HP,760(4 HITS),3,1,,,,,,,
LP,5LP,350,9,3,14,25,-1,1,,,
HP,5HP,700,13,3,35,50,-17,-13,,,
LK,5LK,100*4(370),9,2(4)2(3)2(3)2,17,43,1,-1,,,
HK,5HK,200*4(780),13,5(7)5(7)5(7)5,17,70,-2,2,,,
CROUCH LP,2LP,400,12,2,33,46,-19,-17,,,
CROUCH HP,2HP,700,12,4,35,50,-18,12,,,
CROUCH LK,2LK,350,8,3,17,27,-5,-2,,,
CROUCH HK,2HK,500+400,16,4(16)3,47,85,-31,25,,,
JUMP LP,8LP,300,8,2,21,30,,,,,
JUMP HP,8HP,700,14,3,34,50,,,,,
JUMP LK,8LK,100*2(190),16,2(3)2,18,40,,,,,
JUMP HK,8HK,700,14,3,43,59,,,,,
RAISE THE FLAG,6LP,500,10,4,23,36,-9,-7,,,
REVERSE EDGE,8>6LP,500,11,3,38,51,,,,,
STINGER,6HP,800,16,6,30,51,-16,-12,,,
>MILLION STABS,6HP>HP,300*6(1650),,,,,,,,,
>>AIR TRICK,6HP>HP>LP,,,,,,,,,,
>>MILLION STABS (QUICK),6HP>HP>HP,300*6(1650),,,,,,,,,
>>DRIVE,6HP>HP>LK,600+900(1410),,,,,,,,,
>>VOLCANO,6HP>HP>HK,1000,,,,,,,,,
>>>BEEHIVE,6HP>HP>HK>HP,250*8+700(2290),,,,,,,,,
CLAY PIGEON,6HK,100*4(370),9,42,0,50,,,,,
HELM BREAKER,8>2HP,800,21,9,48,77,,,,,
RAIN STORM,8>2HK,60*12(708),17,20,1,37,,,,,
SCATTER SHOT (4 HITS),236LP,100*4(370),17,2(5)2(4)2(5)2,28,66,,,,,
SCATTER SHOT (6 HITS),236LP>LP,100*6(550),,,,,,,,,
SCATTER SHOT (8 HITS),236LP>LP>LP,100*8(712),,,,,,,,,
SCATTER SHOT (9 HITS),236LP>LP>LP>LP,100*9(793),,,,,,,,,
>RUN 'N' GUN (FORWARD) (4 HITS),236LP>6,100*4(370),17,2(5)2(4)4(6)2(5)2,26,74,,,,,
>RUN 'N' GUN (FORWARD) (6 HITS),236LP>6>LP,100*6(550),,,,,,,,,
>RUN 'N' GUN (FORWARD) (8 HITS),236LP>6>LP>LP,100*8(712),,,,,,,,,
>RUN 'N' GUN (BACKWARD) (4 HITS),236LP>4,100*4(370),17,2(5)2(4)2(1)2(5)2(5)2,26,74,,,,,
>RUN 'N' GUN (BACKWARD) (6 HITS),236LP>4>LP,100*6(550),,,,,,,,,
>RUN 'N' GUN (BACKWARD) (8 HITS),236LP>4>LP>LP,100*8(712),,,,,,,,,
