MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,40,0,0,40,-3,2
DASH (BACKWARD),4PP,,40,0,0,40,,
JUMP (FORWARD),9,,4,48,9,70,,
JUMP (NEUTRAL),8,,4,48,9,70,-16,-17
JUMP (BACKWARD),7,,4,48,9,70,-16,-17
SUPER-JUMP (FORWARD),29,,4,71,9,83,-16,-17
SUPER-JUMP (NEUTRAL),28,,4,71,9,83,,
SUPER-JUMP (BACKWARD),27,,4,71,9,83,,
JUMP (FORWARD) (AIR),8>9,,,,,,,
JUMP (NEUTRAL) (AIR),8>8,,,,,,-13,-8
JUMP (BACKWARD) (AIR),8>7,,,,,,-13,-8
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,200,6,4,10,19,-9,-4
HP,5HP,600,14,4,23,40,,
LK,5LK,400,9,3,26,37,-16,-11
HK,5HK,600,12,3,30,44,,
CROUCH LP,2LP,200,6,3,14,22,-4,-1
CROUCH HP,2HP,600,9,3,32,43,,
CROUCH LK,2LK,400,9,8,13,29,-12,-7
CROUCH HK,2HK,600,15,6,23,43,,
JUMP LP,8LP,200,7,3,13,22,-21,16
JUMP HP,8HP,600,14,3,22,38,-15,49
JUMP LK,8LK,400,9,9,12,29,,
JUMP HK,8HK,600,11,25,6,41,,
CROSS SWORD,6HP,600,24,27,0,50,12,17
LANCE CHARGE,6LK,100*5(460),18,16,18,51,,
LANCE IMPALE,8>6LK,400,10,8,15,32,-73,35
LANCE THRUST,8>6HK,600,12,6,20,37,,
DAGGER TOSS,236LP,300,9,41,0,49,,
DAGGER TOSS (2ND),236LP>LP,300*2,9,51,0,59,,
DAGGER TOSS (3RD),236LP>LP>LP,300*3(870),9,61,0,69,,
DAGGER TOSS (AIR),8>236LP,300,9,41,0,49,,
DAGGER TOSS (AIR) (2ND),8>236LP>LP,300*2,9,49,0,57,,
DAGGER TOSS (AIR) (3RD),8>236LP>LP>LP,300*3(870),9,49,0,57,,
LANCE TOSS,236HP,500,1,1,2,3,,
LANCE TOSS (2ND),236HP>HP,500*2,12,53,0,64,,
LANCE TOSS (AIR),8>236HP,500,12,38,0,49,,
LANCE TOSS (AIR) (2ND),8>236HP>HP,500*2,12,46,0,57,,
SCATTER CROSSBOW,214LP,400*2,15,35,0,49,,
SCATTER CROSSBOW (AIR),8>214LP,400*2,15,25,0,39,,
FIRE BOTTLE TOSS,214HP,700/150*6(870),20,33(1)1,0,54,,
FIRE BOTTLE TOSS (AIR),8>214HP,700/150*6(870),20,6,0,25,,
SCYTHE TOSS,214LK,400*2,20,41,0,60,,
SCYTHE TOSS (AIR),8>214LK,400*2,20,18,0,37,,
AX TOSS,214HK,1200,20,38,0,57,,
AX TOSS (AIR),8>214HK,1200,21,12,0,32,,
HEAVENLY SLASH,22LP,1000,7,8,32,46,,
HELLBOUND SLASH,22HP,800+500(1250),16,7(16)6,28,72,,
SHIELD DEFLECT,22LK,,4,26,16,45,,
SHIELD DEFLECT HK,22HK,,8,26,26,59,,
GODDESS' BRACLET,236PP,200*20(3100),22,119,0,140,,
GOLDEN ARMOR,22KK,,22,0,0,22,,
FOR THE PRINCESS (L3HC),214PP,800*10(4880),23,135,87,244,,
v GOLDEN ARMOR v,22KK,,,,,,,
DASH (FORWARD),5PP,,,,,,,
DASH (BACKWARD),4PP,,,,,,,
JUMP (FORWARD),9,,,,,,,
JUMP (NEUTRAL),8,,,,,,,
