MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,35,0,0,35,,
DASH (BACKWARD),4PP,,36,0,0,36,,
AIR-DASH (FORWARD),8>PP,,37,0,0,37,,
AIR-DASH (BACKWARD),8>4PP,,37,0,0,37,,
AIR-DASH (UP),8>8PP,,37,0,0,37,,
AIR-DASH (UP-FORWARD),8>9PP,,37,0,0,37,,
AIR-DASH (UP-BACKWARD),8>7PP,,37,0,0,37,,
AIR-DASH (DOWN),8>2PP,,37,0,0,37,,
AIR-DASH (DOWN-FORWARD),8>3PP,,37,0,0,37,,
AIR-DASH (DOWN-BACKWARD),8>1PP,,37,0,0,37,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,1000,3,1,,,54,55
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,6,3,10,18,0,-2
HP,5HP,700,10,2,39,50,-20,-16
LK,5LK,500,7,2,28,36,-14,-12
HK,5HK,700,10,2,34,45,-16,-12
CROUCH LP,2LP,300,6,2,13,20,-2,-4
CROUCH HP,2HP,700,10,6,32,47,-17,13
CROUCH LK,2LK,500,8,3,25,35,-13,-10
CROUCH HK,2HK,700,13,12,21,45,-14,45
JUMP LP,8LP,300,5,3,18,25,,
JUMP HP,8HP,700,11,3,32,45,,
JUMP LK,8LK,500,8,11,17,35,,
JUMP HK,8HK,700,13,6,22,40,,
SMASH HOOK,6HP,700,13,10,27,49,-17,-13
SLIDING STRAIGHT,3LP,500,14,3,43,59,-29,-26
TURN KICK,6HK,700,21,5,25,50,-10,-6
PHOTON IMPACT,8>2HP,700,14,3,37,53,,
PHOTON BLAST (LP),236LP,150-300*4(1140),17,18,20,54,8,6
PHOTON BLAST (HP),236HP,150-300*4(1140),17,18,20,54,8,19
PHOTON BLAST (LP) (AIR),8>236LP,150-300*4(1140),17,18,26,60,,
PHOTON BLAST (HP) (AIR),8>236HP,150-300*4(1140),17,18,26,60,,
BLITZ BLOW (FORWARD),5KK,800,16,15,22,52,0,25
BLITZ BLOW (BACKWARD),4KK,800,16,15,22,52,0,25
BLITZ BLOW (UP),8KK,800,16,15,88,118,0,25
BLITZ BLOW (UP FORWARD),9KK,800,16,15,88,118,0,25
BLITZ BLOW (UP BACKWARD),7KK,800,16,15,88,118,0,25
BLITZ BLOW (AIR),8>5KK,800,16,15,,,,
BLITZ BLOW (BACKWARD) (AIR),8>4KK,800,16,15,,,,
BLITZ BLOW (UP) (AIR),8>8KK,800,16,15,,,,
BLITZ BLOW (UP FORWARD) (AIR),8>9KK,800,16,15,,,,
BLITZ BLOW (UP BACKWARD) (AIR),8>7KK,800,16,15,,,,
BLITZ BLOW (DOWN) (AIR),8>2KK,800,16,15,,,,
BLITZ BLOW (DOWN FORWARD) (AIR),8>3KK,800,16,15,,,,
BLITZ BLOW (DOWN BACKWARD) (AIR),8>1KK,800,16,15,,,,
STRIKE FLURRY (LP),214LP,1140(4 HITS),17,2,30,48,-12,11
STRIKE FLURRY (HP),214HP,1100(2 HITS),17,2,30,48,-12,63
