MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,42,0,0,42,,
DASH (BACKWARD),4PP,,34,0,0,34,,
JUMP (FORWARD),9,,4,51,14,68,,
JUMP (NEUTRAL),8,,4,51,14,68,,
JUMP (BACKWARD),7,,4,51,14,68,,
SUPER-JUMP (FORWARD),29,,4,71,14,88,,
SUPER-JUMP (NEUTRAL),28,,4,71,14,88,,
SUPER-JUMP (BACKWARD),27,,4,71,14,88,,
THROW,4/6HP,1000,3,1,,,69,61
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,6,3,14,22,-4,-6
HP,5HP,700,11,4,34,48,-18,-14
LK,5LK,500,8,3,25,35,-11,-9
HK,5HK,700,12,3,36,50,-19,-15
CROUCH LP,2LP,300,6,3,14,22,-3,-5
CROUCH HP,2HP,700,11,3,37,50,-19,11
CROUCH LK,2LK,500,8,10,18,35,-12,-9
CROUCH HK,2HK,700,10,3,38,50,-21,38
JUMP LP,8LP,300,6,3,14,22,,
JUMP HP,8HP,700,11,5,27,42,,
JUMP LK,8LK,500,9,3,24,35,,
JUMP HK,8HK,700,9,3,36,47,,
IMPACT PALM,6HP,700,7,4,40,50,-24,122
IMPACT PALM (AIR),8>6HP,700,,,,,,
SPIRIT CIRCLE,3LP,500,10,4,19,32,-5,-3
MYSTERIOUS SLICE,6LP,500,8,3,20,30,-6,-4
MYSTERIOUS SLICE (AIR),8>6LP,500,9,3,26,37,,
ILLUSION,6HK,,4,18,9,30,,
FLAMES OF THE FALTINE,236LP,500,11,40,0,50,12,-10
FLAMES OF THE FALTINE (AIR),8>236LP,500,11,40,0,50,,
>FLAMES OF THE FALTINE (1 GRACE),214HP>236LP,250*3,11,6(3)31,0,50,15,40
>>FLAMES OF THE FALTINE (2 GRACES),214HP>HP>236LP,200*5(960),11,6(3)8(3)20,0,50,90,110
>>>FLAMES OF THE FALTINE (3 GRACES),214HP>HP>HP>236LP,1300,11,7(3)6(3)5(2)14,0,50,43,124
BOLTS OF BALTHAKK,236HP,200*8(1480),21,18(29)24,34,125,-22,50
DAGGERS OF DENAK (LK),236LK,800,35,16,0,50,21,25
DAGGERS OF DENAK (HK),236HK,400*3(1160),70,0,0,70,65,69
DAGGERS OF DENAK (LK) (AIR),8>236LK,800,35,16,0,50,,
DAGGERS OF DENAK (HK) (AIR),8>236HK,400*3(1160),70,0,0,70,,
EYE OF AGAMOTTO,214HK,100*5,32,14,0,45,44,48
EYE OF AGAMOTTO (AIR),8>214HK,100*5,32,14,0,45,,
>EYE OF AGAMOTTO (IMPACT PALM),214HK>6HP,100*5,1,50,0,50,1,5
>EYE OF AGAMOTTO (IMPACT PALM) (AIR),8>214HK>6HP,100*5,1,22,0,22,,
TEARS OF AGAMOTTO,214LK,1300,45,0,0,45,12,71
TEARS OF AGAMOTTO (AIR),8>214LK,1300,45,0,0,45,,
>TEARS OF AGAMOTTO (IMPACT PALM),214LK>6HP,1300,7,4,40,50,-24,-7
>TEARS OF AGAMOTTO (IMPACT PALM) (AIR),8>214HK>6HP,1300,1,25,0,25,,
MYSTICAL SWORD - DUEL SLASH (LP),623LP,200*2+500,8,3(3)3(7)3,24,50,-7,30
MYSTICAL SWORD - DUEL SLASH (HP),623HP,200*3+600(1140),11,3(42)3(3)3(7)3(19)6,26,125,-12,70
MYSTICAL SWORD - SHOCKWAVE (LK),623LK,200+900,12,34,5,50,-18,25
MYSTICAL SWORD - SHOCKWAVE (HK),623HK,200+900,12,39,0,50,-18,17
GRACE OF HOGGOTH (LP),214LP,,35,0,0,35,,
GRACE OF HOGGOTH (HP),214HP,,35,0,0,35,,
>SPACIAL MAGIC - CAST A (LP),214P>LP,,61,0,0,61,,
>SPACIAL MAGIC - CAST A (HP),214P>HP,,61,0,0,61,,
>SPACIAL MAGIC - CAST A (6LP),214P>6LP,,61,0,0,61,,
>SPACIAL MAGIC - CAST A (6HP),214P>6HP,,61,0,0,61,,
>>SPACIAL MAGIC - CAST B (LP),214P>P>LP,,87,0,0,87,,
>>SPACIAL MAGIC - CAST B (HP),214P>P>HP,,87,0,0,87,,
>>SPACIAL MAGIC - CAST B (6LP),214P>P>6LP,,87,0,0,87,,
>>SPACIAL MAGIC - CAST B (6HP),214P>P>6HP,,87,0,0,87,,
>>>SPACIAL MAGIC - SCATTER (LP),214P>P>P>LP,,123,0,0,123,,
>>>SPACIAL MAGIC - SCATTER (HP),214P>P>P>HP,,123,0,0,123,,
>>>SPACIAL MAGIC - GATHER (LK),214P>P>P>LK,,123,0,0,123,,
>>>SPACIAL MAGIC - GATHER (HK),214P>P>P>HK,,123,0,0,123,,
GRACE OF HOGGOTH (LP) (AIR),8>214LP,,35,0,0,35,,
GRACE OF HOGGOTH (HP) (AIR),8>214HP,,35,0,0,35,,
>SPACIAL MAGIC - CAST A (LP) (AIR),8>214P>LP,,66,0,0,66,,
>SPACIAL MAGIC - CAST A (HP) (AIR),8>214P>HP,,66,0,0,66,,
>SPACIAL MAGIC - CAST A (6LP) (AIR),8>214P>6LP,,66,0,0,66,,
>SPACIAL MAGIC - CAST A (6HP) (AIR),8>214P>6HP,,66,0,0,66,,
>>SPACIAL MAGIC - CAST B (LP) (AIR),8>214P>P>LP,,92,0,0,92,,
>>SPACIAL MAGIC - CAST B (HP) (AIR),8>214P>P>HP,,92,0,0,92,,
>>SPACIAL MAGIC - CAST B (6LP) (AIR),8>214P>P>6LP,,92,0,0,92,,
>>SPACIAL MAGIC - CAST B (6HP) (AIR),8>214P>P>6HP,,92,0,0,92,,
>>>SPACIAL MAGIC - SCATTER (LP) (AIR),8>214P>P>P>LP,,128,0,0,128,,
>>>SPACIAL MAGIC - SCATTER (HP) (AIR),8>214P>P>P>HP,,128,0,0,128,,
>>>SPACIAL MAGIC - GATHER (LK) (AIR),8>214P>P>P>LK,,128,0,0,128,,
>>>SPACIAL MAGIC - GATHER (HK) (AIR),8>214P>P>P>HK,,128,0,0,128,,
>GRACE OF HOGGOTH (LP) (DETONATION),214LP>236LP,500,11,5(1)34,0,50,2,78
TELEPORTATION (LP),22LP,,11,6,24,40,,
TELEPORTATION (HP),22HP,,11,6,24,40,,
TELEPORTATION (LK),22LK,,11,6,24,40,,
TELEPORTATION (HK),22HK,,11,6,24,40,,
TELEPORTATION (LP) (AIR),8>22LP,,11,6,24,40,,
TELEPORTATION (HP) (AIR),8>22HP,,18,1,22,40,,
TELEPORTATION (LK) (AIR),8>22LK,,11,6,24,40,,
TELEPORTATION (HK) (AIR),8>22HK,,11,6,24,40,,
FLIGHT,214KK,,134,0,0,134,,
FLIGHT (AIR),8>214KK,,134,0,0,134,,
>FLIGHT (CANCEL),214KK>214KK,,1,0,0,1,,
SPELL OF VISHANTI,236PP,300*10(2520),17,49,48,113,-30,15
SPELL OF VISHANTI (AIR),8>236PP,300*10(2520),17,49,48,113,-30,15
SEVEN RINGS OF RAGGADORR,214PP,150*23(2190)-300*27(4839),11,24,38,72,,
CRIMSON BANDS OF CYTTORAK (L3HC),236KK,5250(17 HITS),16,30,50,95,-21,63
