MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,28,0,0,28,,
DASH (BACKWARD),4PP,,28,0,0,28,,
JUMP (FORWARD),9,,4,42,12,57,,
JUMP (NEUTRAL),8,,4,42,12,57,,
JUMP (BACKWARD),7,,4,42,12,57,,
SUPER-JUMP (FORWARD),29,,4,71,12,86,,
SUPER-JUMP (NEUTRAL),28,,4,71,12,86,,
SUPER-JUMP (BACKWARD),27,,4,71,12,86,,
THROW,4/6HP,1000(2 HITS),3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,6,2,11,18,-1,-2
HP,5HP,300+400,11,3(7)4,26,50,-10,-5
LK,5LK,400,8,5,21,33,-7,-2
HK,5HK,700,14,6,47,66,-31,-26
CROUCH LP,2LP,300,5,3,12,19,-3,-4
CROUCH HP,2HP,700,12,6,28,45,-13,20
CROUCH LK,2LK,400,6,5,30,40,-16,-12
CROUCH HK,2HK,700,10,12,24,45,-17,42
JUMP LP,8LP,300,6,5,22,32,,
JUMP HP,8HP,700,11,5,32,47,,
JUMP LK,8LK,400,9,6,21,35,,
JUMP HK,8HK,300+400,10,3(6)3,33,54,,
DEMONIC KNIFE,6LP,500,8,4,26,37,-14,-11
TWIN FANG,3LP,500,9,7,15,30,-3,2
DEVIL'S CLAW,8>2HK,700,19,23,,,,
HELL SPITFIRE (LP),236LP,900,16,33,0,48,-8,-9
HELL SPITFIRE (HP),236HP,900,17,31,0,47,-6,-7
HELL SPITFIRE (LK),236LK,400*3(1160)/100*5,26,13(1)27,0,66,4,17
HELL SPITFIRE (HK),236HK,400*3(1160)/100*5,25,36,0,60,-11,22
HELL SPITFIRE (LP) (AIR),8>236LP,900,17,31,0,47,,
HELL SPITFIRE (HP) (AIR),8>236HP,900,17,31,0,47,,
HELL SPITFIRE (LK) (AIR),8>236LK,400*3(1160)/100*5,27,28,0,54,,
HELL SPITFIRE (HK) (AIR),8>236HK,400*3(1160)/100*5,26,31,0,56,,
TORNADO (LP),22LP,200*3,16,17,14,46,3,28
TORNADO (HP),22HP,200*3+150*6(1395),12,17(4)38,0,70,11,45
HELL'S ELEVATOR (LP),214LP,,20,0,0,20-Feb,,
HELL'S ELEVATOR (HP),214HP,,116,0,0,116,,
HELL'S ELEVATOR (LK),214LK,,126,0,0,126,,
HELL'S ELEVATOR (LK) (CANCEL),214LK>214LK,,1,0,0,1,,
HELL'S ELEVATOR (HK),214HK,,115,0,0,115,,
HELL DIVE (LP),8>214LP,,20-Feb,0,0,20-Feb,,
HELL DIVE (HP),8>214HP,,27,0,0,27,,
HELL DIVE (LK),8>214LK,,126,0,0,126,,
HELL DIVE (HK,8>214HK,,27,0,0,27,,
DEMON MISSILE (LP),623LP,900,16,22,20,57,-3,57
DEMON MISSILE (HP),623HP,1000,21,22,20,62,-23,63
DEMON MISSILE (LK),623LK,800,16,24,0,39,-1,93
DEMON MISSILE (LK) (CHARGED),623(LK),1300,67,24,0,90,-1,146
DEMON MISSILE (HK),623HK,1410(12 HITS),14,14,30,57,-25,86
DEMON MISSILE (LP) (AIR),8>623LP,900,16,22,8,45,,
DEMON MISSILE (HP) (AIR),8>623HP,1000,16,22,9,46,,
DEMON MISSILE (LK) (AIR),8>623LK,800,23,24,0,46,,
DEMON MISSILE (LK) (AIR) (CHARGED),8>623(LK),1300,63,24,0,86,,
DEMON MISSILE (HK) (AIR),8>623HK,1480(11 HITS),14,20,,,5,80
WALL CLING,8>44,,63,0,0,63,,
>HELL SPITFIRE (LP),8>44>LP,900,22,7,0,28,,
>HELL SPITFIRE (HP),8>44>HP,900,25,1,0,25,,
>HELL SPITFIRE (LK),8>44>LK,400*3(1160)/100*5,35,1,0,35,,
>DROP,8>44>HK,,4,0,0,4,,
DARK FIRE,236PP,250*17(3250),17,35,53,104,-41,47
DARK FIRE (AIR),8>236PP,250*17(3250),17,35,58,109,,
LUMINOUS BODY,22PP,,14,0,0,14,,
LUMINOUS BODY (AIR),8>22PP,,14,1,79,93,,
CHAOS TIDE (L3HC),22KK,,34,0,0,34,,
>HELL SPITFIRE (LP),,900,17,1,,,,
>HELL SPITFIRE (LK),,400*3(1160)/100*5,27,1,,,,
>DEMON MISSILE (HP),,1000,16,1,,,,
>DEMON MISSILE (LK),,800,3,1,,,,
RED BLAZE (L3HC),236KK,5069(18 HITS),14,23,75,111,-75,17
v LUMINOUS BODY v,22PP,,,,,,,
DASH (FORWARD),5PP,,23,0,0,23,,
DASH (BACKWARD),4PP,,22,0,0,22,,
JUMP (FORWARD),9,,4,42,12,57,,
JUMP (NEUTRAL),8,,4,42,12,57,,
JUMP (BACKWARD),7,,4,42,12,57,,
SUPER-JUMP (FORWARD),29,,4,71,12,86,,
SUPER-JUMP (NEUTRAL),28,,4,71,12,86,,
SUPER-JUMP (BACKWARD),27,,4,71,12,86,,
THROW,4/6HP,1000(2 HITS),3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,5,2,8,14,2,1
LP,5LP,300,5,2,9,15,1,0
HP,5HP,300+400,9,2(6)3,21,40,-4,1
HP,5HP,300+400,9,3(5)3,21,40,-4,1
HP,5HP,300+400,9,3(5)4,20,40,-4,1
HP,5HP,300+400,9,3(5)4,21,41,-5,0
HP,5HP,300+400,10,2(6)3,21,41,-4,1
LK,5LK,400,6,4,17,26,-2,3
LK,5LK,400,7,4,17,27,-2,3
HK,5HK,700,11,5,38,53,-21,49~50
HK,5HK,700,12,5,37,53,-21,49~50
HK,5HK,700,12,4,38,53,-21,49~50
CROUCH LP,2LP,300,4,2,10,15,0,-1
CROUCH LP,2LP,300,4,3,9,15,0,-1
CROUCH LP,2LP,300,5,2,10,16,0,-1
CROUCH HP,2HP,700,10,4,23,36,-7,25~26
CROUCH HP,2HP,700,10,5,22,36,-6,25~26
CROUCH LK,2LK,400,5,4,24,32,-10,-5
CROUCH HK,2HK,700,8,10,19,36,-10,49
CROUCH HK,2HK,700,9,9,19,36,-9,50
JUMP LP,8LP,300,5,4,17,25,,
JUMP HP,8HP,700,9,4,25,37,,
JUMP LK,8LK,400,8,5,16,28,,
JUMP HK,8HK,300+400,9,2(5)2,27,44,,
DEMONIC KNIFE,6LP,500,6,4,20,29,-9,-6
DEMONIC KNIFE,6LP,500,7,3,21,30,-8,-5
TWIN FANG,3LP,500,7,6,12,24,1,6
TWIN FANG,3LP,500,8,5,12,24,2,7
DEVIL'S CLAW,8>2HK,700,15-16,19,,,,
HELL SPITFIRE (LP),236LP,900,13,27,0,39,-2~-1,-3~-2
HELL SPITFIRE (HP),236HP,900,13,25,0,37,0~1,0~-1
HELL SPITFIRE (LK),236LK,400*3(1160)/100*5,21,13(1)19,0,53,12~13,25~26
HELL SPITFIRE (HK),236HK,400*3(1160)/100*5,20,29,0,48,-4,29
HELL SPITFIRE (LP) (AIR),8>236LP,900,13,25,0,37,,
HELL SPITFIRE (HP) (AIR),8>236HP,900,14,25,0,38,,
HELL SPITFIRE (LK) (AIR),8>236LK,400*3(1160)/100*5,21,23,0,43,,
HELL SPITFIRE (HK) (AIR),8>236HK,400*3(1160)/100*5,21,25,0,45,,
TORNADO (LP),22LP,200*3,13,17,8,37,9,34
TORNADO (HP),22HP,200*3+150*6(1395),9~10,47~48,0,56,18~19,50
HELL'S ELEVATOR (LP),214LP,,16,0,0,16,,
HELL'S ELEVATOR (HP),214HP,,111,0,0,111,,
HELL'S ELEVATOR (LK),214LK,,119,0,0,119,,
HELL'S ELEVATOR (LK) (CANCEL),214LK>214LK,,1,0,0,1,,
HELL'S ELEVATOR (HK),214HK,,110,0,0,110,,
HELL DIVE (LP),8>214LP,,16-Feb,0,0,16-Feb,,
HELL DIVE (HP),8>214HP,,21-22,0,0,21-22,,
HELL DIVE (LK),8>214LK,,119,0,0,119,,
HELL DIVE (HK,8>214HK,,21-22,0,0,21-22,,
DEMON MISSILE (LP),623LP,900,13,18,16,46,1,62
DEMON MISSILE (LP) (HIT),623LP,900,13,1,96,109,,
DEMON MISSILE (HP),623HP,1000,13,17~18,16,45~46,-15~-14,72
DEMON MISSILE (LK),623LK,800,13,19,0,31,3,97
DEMON MISSILE (LK) (CHARGED),623(LK),1300,53,20,0,72,3,150
DEMON MISSILE (HK),623HK,1410(12 HITS),15,11,24,49,-16,86
DEMON MISSILE (LP) (AIR),8>623LP,900,13,17,7,36,,
DEMON MISSILE (HP) (AIR),8>623HP,1000,13,17,8,37,,
DEMON MISSILE (LK) (AIR),8>623LK,800,19,19,0,37,,
DEMON MISSILE (LK) (CHARGED) (AIR),623(LK),1300,50,20,0,69,,
DEMON MISSILE (HK) (AIR),8>623HK,1480(11 HITS),16,16,18,49,,
WALL CLING,8>44,,50,0,0,50,,
>HELL SPITFIRE (LP),8>44>LP,900,18,5,0,22,,
>HELL SPITFIRE (HP),8>44>HP,900,20,1,0,20,,
>HELL SPITFIRE (LK),8>44>LK,400*3(1160)/100*5,28,1,0,28,,
>DROP,8>44>HK,,4-Mar,0,0,4-Mar,,
DARK FIRE,236PP,250*17(3250),14-15,28,42,84,-29,56
DARK FIRE (AIR),8>236PP,250*17(3250),13-14,28,46,87,,
CHAOS TIDE (L3HC),22KK,,27,0,0,27,,
>HELL SPITFIRE (LP),,900,17,1,,,,
>HELL SPITFIRE (LK),,400*3(1160)/100*5,27,1,,,,
>DEMON MISSILE (HP),,1000,16,1,,,,
>DEMON MISSILE (HK),,800,3,1,,,,
RED BLAZE (L3HC),236KK,5069(18 HITS),11,19,60,89,-56~-57,35
RED BLAZE (L3HC),236KK,5069(18 HITS),12,18,60,89,-56~-57,35
