MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,25,0,0,25,,
DASH (BACKWARD),4PP,,23,0,0,23,,
JUMP (FORWARD),9,,4,42,12,57,,
JUMP (NEUTRAL),8,,4,42,12,57,,
JUMP (BACKWARD),7,,4,42,12,57,,
SUPER-JUMP (FORWARD),29,,4,71,12,86,,
SUPER-JUMP (NEUTRAL),28,,4,71,12,86,,
SUPER-JUMP (BACKWARD),27,,4,71,12,86,,
THROW,4/6HP,1000,3,1,,,49,69
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,7,4,12,22,-3,-5
HP,5HP,700,16,3,28,46,-11,-7
LK,5LK,500,10,6,13,28,-3,-1
HK,5HK,700,14,8,19,40,-7,-3
CROUCH LP,2LP,300,7,3,17,26,-7,-9
CROUCH HP,2HP,700,15,5,27,46,-12,18
CROUCH LK,2LK,500,9,3,13,24,-1,2
CROUCH HK,2HK,700,13,7,31,50,-19,40
JUMP LP,8LP,300,7,10,9,25,,
JUMP HP,8HP,700,15,5,31,50,,
JUMP LK,8LK,500,12,13,13,37,,
JUMP HK,8HK,700,13,6,25,43,,
>RAGE WHIP,5HP>HP,300,16,1(5)2,19,42,-1,3
SHOULDER SLAM,3LP,500,12,7,12,30,-3,-1
DAMNATION WHIP,8>2HP,200*4(780),21,9,38,67,,
WRAITH WHIP,3HP,700,26,2,29,56,-12,47
HELLFIRE (LK),236LK,300*4(1140),19,21,27,66,-14,96
HELLFIRE (HK),236HK,300*4(1140),19,21,27,66,-13,96
HELLFIRE (HK) (HOLD),236(HK),400*4(1520),23,21,23,66,-7,49
CHAIN OF REBUTTAL,236LP,200*2+600,16,5,31,51,-12,81
JUDGEMENT STRIKE,236HP,150*10(1395),25,13,36,73,-23,-22
CHAOS BRINGER,214LP,200(2 HITS),16,3,46,64,-29,83
CONVICTION SLAM,214HP,1500(2 HITS),16,3,46,64,-29,56
CHAIN OF PUNISHMENT,22LP,200*3+600(1140),16,7,30,52,-13,82
HELL'S EMBRACE,22HP,2050(6 HITS),16,7,30,52,-17,100
SEVENTH CIRCLE PUNISHMENT (LK) (2 HITS),214LK,300+100,13,3(11)2,18,46,0,3
SEVENTH CIRCLE PUNISHMENT (LK) (4 HITS),214LK>K,300+100*3,13,3(9)3(8)3(8)2,18,66,0,3
SEVENTH CIRCLE PUNISHMENT (LK) (6 HITS),214LK>K>K,300+100*5(780),13,3(9)3(8)3(5)3(6)3(7)2,18,82,0,2
SEVENTH CIRCLE PUNISHMENT (LK) (8 HITS),214LK>K>K>K,300+100*7(960),13,3(9)3(8)3(5)3(6)3(3)3(4)3(6)2,18,94,0,2
SEVENTH CIRCLE PUNISHMENT (HK) (4 HITS),214HK,300+100*3,23,3(9)3(8)3(8)3,31,90,-14,-11
SEVENTH CIRCLE PUNISHMENT (HK) (6 HITS),214HK>K,300+100*5(780),23,3(9)3(8)3(5)3(7)3(8)3,31,108,-14,-12
SEVENTH CIRCLE PUNISHMENT (HK) (8 HITS),214HK>K>K,300+100*7(960),23,3(9)3(8)3(5)3(7)3(5)3(6)3(7)3,31,124,-14,-12
SEVENTH CIRCLE PUNISHMENT (HK) (10 HITS),214HK>K>K>K,300+100*9(1140),23,3(9)3(8)3(5)3(7)3(5)3(6)3(4)3(4)3(7)3,31,138,-14,-13
SEVENTH CIRCLE PUNISHMENT (HK) (12 HITS),214HK>K>K>K>K,300+100*11(1310),23,3(9)3(8)3(5)3(7)3(5)3(6)3(4)3(4)3(3)3(4)3(6)3,31,150,-14,-13
>SEVENTH CIRCLE WHIP,214K>LP,100+500,10,2(22)3(2)4,52,94,-36,54
>SEVENTH CIRCLE ANCHOR,214K>HP,1000,10,2(31)6,68,116,-54,-2
>SEVENTH CIRCLE WHIP,214LK>LP,,13,3(5)(9)2(22)3(2)4,52,114,-36,54
>SEVENTH CIRCLE ANCHOR,214LK>HP,,13,3(5)(9)2(31)6,68,136,-54,-2
HELLFIRE MAELSTROM,236PP,100*17+100+500*3(3220),15,99(0)3(0)2(0)2(0)1,82,203,-63,59
SPIRIT OF VENGEANCE,236KK,150*18+1000(2995),23,81,56,159,-42,32
SPIRIT OF VENGEANCE CORNER,236KK,150*18+1000(2995),23,49,56,127,-42,32
>SPIRIT OF VENGEANCE DRIFT,236KK>P,50*2,23,LOL,LOL,LOL,LOL,LOL
>SPIRIT OF VENGEANCE WHEELIE,236KK>K,50*5+800,23,65,0,87,82,63
PENANCE STARE (L3HC),214PP,5525(18 HITS),5,2,46,52,145,145
