MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,36,0,0,36,,
DASH (BACKWARD),4PP,,36,0,0,36,,
JUMP (FORWARD),9,,4,45,12,60,,
JUMP (NEUTRAL),8,,4,45,12,60,,
JUMP (BACKWARD),7,,4,45,12,60,,
SUPER-JUMP (FORWARD),29,,4,71,12,86,,
SUPER-JUMP (NEUTRAL),28,,4,71,12,86,,
SUPER-JUMP (BACKWARD),27,,4,71,12,86,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,5,3,10,17,-1,-2
HP,5HP,500,10,23,9,41,-7,-2
HP (2 ARROWS),5(HP),500*2,18,26,6,49,-4,1
HP (3 ARROWS),5(HP),500*3(1450),43,29,10,81,-8,-3
HP (DOWN),4HP,500,10,15,17,41,-7,-2
HP (DOWN) (2 ARROWS),4(HP),500*2,18,24,8,49,-4,1
HP (DOWN) (3 ARROWS),4(HP),500*3(1450),43,24,11,77,-8,-3
HP (UP),6HP,500,10,22,10,41,-7,-2
HP (UP) (2 ARROWS),6(HP),500*2,18,26,6,49,-4,1
HP (UP) (3 ARROWS),6(HP),500*3(1450),43,29,6,77,-8,-3
LK,5LK,500,8,5,18,30,-8,-5
HK,5HK,350*2,9,3(14)3,26,54,-10,-5
CROUCH LP,2LP,300,5,3,12,19,-3,-4
CROUCH HP,2HP,700,9,3,29,40,-10,22
CROUCH LK,2LK,500,7,4,16,26,-5,-2
CROUCH HK,2HK,700,11,4,26,40,-11,48
JUMP LP,8LP,300,6,5,10,20,,
JUMP HP,8HP,230*3,9,5,27,40,,
JUMP LK,8LK,500,7,11,11,28,,
JUMP HK,8HK,700,12,3,26,40,,
ARROW SCRATCH,6LP,500,7,3,23,32,-8,-5
SLIDE,3LK,600,12,14,23,48,-18,41
SHOCK VALUE,6LK,225*3,13,14(2)13,4,45,5,4
BOW SWEEP,3HK,750,13,3,22,37,-6,53
THRUST SHOT,8>6LK,500,8,3,20,30,,
QUICK SHOT (GREYHOUND),236LP,300*3(870),11,31,9,50,-7,-15
QUICK SHOT (GREYHOUND) (AIR),8>236LP,300*3(870),10,26,,,,
QUICK SHOT (SPRITZER),236HP,1100,20,17,19,55,-11,-8
QUICK SHOT (SPRITZER) (AIR),8>236HP,1100,21,17,3,40,,
TRICK MANEUVER (LK),214LK,,36,0,0,36,,
TRICK MANEUVER (HK),214HK,,37,0,0,37,,
>TRICK SHOT (VIOLENT FIZZ) (MANEUVER LP),214LK>LP,600+610,14,25,10,48,-10,-11
>TRICK SHOT (VIOLENT FIZZ) (MANEUVER HP),214HK>LP,600+610,21,13,13,46,,
>TRICK SHOT (ICEBREAKER) (MANEUVER LK),214LK>LK,1100,14,23,12,48,-10,129
>TRICK SHOT (ICEBREAKER) (MANEUVER LK),214HK>LK,1100,21,13,13,46,,
>TRICK SHOT (JACK ROSE) (MANEUVER HP),214LK>HP,1200,14,10,25,48,-1,75
>TRICK SHOT (JACK ROSE) (MANEUVER HP),214HK>HP,1200,21,13,13,46,,
>TRICK SHOT (SCORPION) (MANEUVER HK),214LK>HK,500+200*5(1400),14,10(10)23,0,56,-18,-13
>TRICK SHOT (SCORPION) (MANEUVER HK),214HK>HK,500+200*5(1400),21,13(10)8,0,51,,
RAGTIME SHOT (KAMIKAZE),22LP,150*10(1395),19,37,0,55,,
RAGTIME SHOT (BALALAIKA),22HP,300*9(2310),22,43,0,64,,
GIMLET,236PP,2500,13,10,67,89,-43,36
GIMLET (AIR),8>236PP,2500,13,10,57,79,,
KISS OF FIRE,236KK,650*7(3445),22,73,0,94,7,122
CIRCUS ACT (L3HC),214PP,5166(20 HITS),17,23,55,94,-51,79
