MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,34,0,0,34,,
DASH (BACKWARD),4PP,,43,0,0,43,,
JUMP (FORWARD),9,,4,47,11,61,,
JUMP (NEUTRAL),8,,4,47,11,61,,
JUMP (BACKWARD),7,,4,47,11,61,,
SUPER-JUMP (FORWARD),29,,4,71,11,85,,
SUPER-JUMP (NEUTRAL),28,,4,71,11,85,,
SUPER-JUMP (BACKWARD),27,,4,71,11,85,,
THROW,4/6HP,1200,3,1,,,,
THROW (AIR),8>4/6HP,1200,3,1,,,,
LP,5LP,600,8,2,34,43,-20,-18
HP,5HP,800,16,2,50,67,-31,67
LK,5LK,800,15,8,16,38,-4,0
HK,5HK,800,19,9,33,60,-22,-18
CROUCH LP,2LP,600,8,2,30,39,-15,-13
CROUCH HP,2HP,800,11,4,39,53,-21,9
CROUCH LK,2LK,600,10,4,27,40,-16,-13
CROUCH HK,2HK,800,12,10,26,47,-17,42
JUMP LP,8LP,600,7,12,4,22,,
JUMP HP,8HP,800,15,6,23,43,,
JUMP LK,8LK,600,9,8,14,30,,
JUMP HK,8HK,800,16,5,29,49,,
GUT PUNCH,6LP,600,9,5,24,37,-13,-11
IMPACT PUNCH (LVL 1),6HP,800,11,14,20,44,-14,-10
IMPACT PUNCH (LVL 2),6(HP),1400,,,,,,
IMPACT PUNCH (LVL 3),6(HP),1700,,,,,,
IMPACT PUNCH (LVL 4),6(HP),2000,104,2,50,155,-31,86
INCREDIBLE PUNCH,8>2HP,800,15,5,31,50,,
AVALANCHE LEAP,8>6,,,,,,,
GAMMA WAVE (LP),236LP,300*3(870),15,8,16,38,-1,3
GAMMA WAVE (HP),236HP,300*5(1410),31,35,0,65,-3,1
GAMMA CHARGE (LK),236LK,1200,12,16,21,48,-17,18
>GAMMA AIR CHARGE (LK),236LK>214LK,1200,,,,,,
>GAMMA AIR CHARGE (HK),236LK>214HK,1400,,,,,,
GAMMA CHARGE (HK),236HK,1200,19,21,42,81,-40,64
>GAMMA AIR CHARGE (LK),236HK>214LK,1200,,,,,,
>GAMMA AIR CHARGE (HK),236HK>214HK,1400,,,,,,
GAMMA AIR CHARGE (LK),214LK,1200,9,12,14,34,-6,29
GAMMA AIR CHARGE (HK),214HK,1400,9,12,14,34,-6,39
GAMMA TORNADO (LP),63214LP,1500,16,2,25,42,39,39
GAMMA TORNADO (HP),63214HP,1500,18,2,25,44,74,74
GAMMA TSUNAMI,236PP,480*14(4368),24,60,17,100,-5,1
GAMMA CRUSH,236KK,1000+500*7+1000(3900),18,79,80,176,-62,36
GAMMA QUAKE (L3HC),214PP,2000*6(6540),10,19(10)19(30)19,72,178,-54,51
