MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,30,,,,,
DASH (BACKWARD),4PP,,32,,,,,
AIR-DASH (FORWARD),8>5PP,,27,,,,,
AIR-DASH (BACKWARD),8>4PP,,29,,,,,
JUMP (FORWARD),9,,4,42,5,50,,
JUMP (NEUTRAL),8,,4,42,5,50,,
JUMP (BACKWARD),7,,4,42,5,50,,
SUPER-JUMP (FORWARD),29,,4,71,5,79,,
SUPER-JUMP (NEUTRAL),28,,4,71,5,79,,
SUPER-JUMP (BACKWARD),27,,4,71,5,79,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,5,3,13,20,-3,-5
HP,5HP,250+250+350,13,2(2)2(2)2,48,70,-33,-29
LK,5LK,500,8,3,24,34,-10,-8
HK,5HK,900,25,5,31,60,-18,62
CROUCH LP,2LP,300,5,3,11,18,-1,-3
CROUCH HP,2HP,700,10,4,32,45,-13,17
CROUCH LK,2LK,500,8,4,25,36,-14,-11
CROUCH HK,2HK,700,14,7,38,58,-26,33
JUMP LP,8LP,300,5,3,23,30,,
JUMP HP,8LP,250+250+350,13,2(2)2(2)2,9,31,,
JUMP LK,8LP,500,8,4,31,42,,
JUMP HK,8LP,850,13,6,28,46,,
DITA DEL LAMENTO,6LP,550,7,8,11,25,-2,0
FALCE MORTALE,3LP,600,6,7,11,23,-2,0
DITA DELLA PIETÀ,3LK,550,9,8,28,44,-20,-18
COLPO DELL'OSCURITÀ,3HP,300+300+350(915),14,2(3)2(2)2,42,66,-27,-23
DITA DELLA CALMA,8>6LP,550,7,4,27,37,,
SPIRALE DIVINA (LP),236LP,200*3,34,2,0,35,40,44
SPIRALE DIVINA (LP) (CHARGE),236(LP),300*5(1410),56,3,0,58,69,73
SPIRALE DIVINA (HP),236HP,200*3,34,2,0,35,40,44
SPIRALE DIVINA (HP) (CHARGE),236(HP),300*5(1410),56,3,0,58,69,73
SPIRALE DIVINA (LP) (AIR),8>236LP,200*3,34,2,0,35,,
SPIRALE DIVINA (LP) (AIR) (CHARGE),8>236(LP),300*5(1410),56,3,0,58,,
SPIRALE DIVINA (HP) (AIR),8>236HP,200*3,34,1,0,34,,
SPIRALE DIVINA (HP) (AIR) (CHARGE),8>236(HP),300*5(1410),56,3,0,58,,
FALCE INIZIO (LK),236LK,800,12,3,30,44,-7,26
FALCE INIZIO (HK),236HK,1100,22,3,28,52,-5,86
SANGUE SACRIFICALE (LP),214LP,300+900,12,15,26,52,-11,92
SANGUE SACRIFICALE (HP),214HP,300+1200,19,23,23,64,-15,92
FALCE PRIMORDIALE (LP),8>214LP,200*6+500,33,3,30,65,,
FALCE PRIMORDIALE (HP),8>214HP,200*6+500,20,3,30,52,,
DOLORE OSCURO (LK),8>236LK,300*3(870),11,10,31,51,,
DOLORE OSCURO (HK),8>236HK,300*5(1410),24,20,21,64,,
TURBINE DELL'IRA (LK),8>214LK,200*9(1640),21,21,25,66,,
TURBINE DELL'IRA (HK),8>214HK,200*10(1800),30,23,25,77,,
FLIGHT,214KK,,134,0,0,134,,
FLIGHT (AIR),8>214KK,,134,0,0,134,,
>FLIGHT (CANCEL),214KK>214KK,,15,0,0,15,,
FINALE ROSSO,236PP,3230(14 HITS),10,2,77,88,-49,27
SPIRALE INFERNALE,8>236KK,100*32+800(3090),17,69,41,126,,
SIGILLO DEL SERVO,236KK,5740(11 HITS),18,27,54,98,-52,58
