MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,34,0,0,34,,
DASH (BACKWARD),4PP,,40,0,0,40,,
JUMP (FORWARD),9,,4,40,6,49,,
JUMP (NEUTRAL),8,,4,40,6,49,,
JUMP (BACKWARD),7,,4,40,6,49,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW (FORWARD),6HP,1000(2 HITS),3,1,,,,
THROW (BACKWARD),4HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,985(3 HITS),3,1,,,,
LP,5LP,300+300(570),9,3(1)3,32,47,-18,-15
HP,5HP,800,21,3,59,82,-39,-34
LK,5LK,500,10,3,33,45,-16,-11
HK,5HK,200*2+100+300,10,2(2)3(21)3(2)3,43,88,-26,2
CROUCH LP,2LP,300+300(570),8,3(2)3,33,48,-20,-18
CROUCH HP,2HP,850,19,6,91,115,-76,-45
CROUCH LK,2LK,550,14,2,31,46,-14,-9
CROUCH HK,2HK,850,24,3,64,90,-44,15
JUMP LP,8LP,250*2(475),11,2(4)3,22,41,,
JUMP HP,8HP,850,22,5,65,91,,
JUMP LK,8LK,500,9,3,21,32,,
JUMP HK,8HK,700,15,2,29,45,,
CIRCLE SLASH,6LP,300+400(660),24,2(3)3,33,64,-9,-4
OVERHEAD SLASH,6HP,900,31,10,93,133,-81,-76
LUNGING STRIKE,6HK,300+400,25,2(4)4,54,88,-39,23
JUMPING SHOT,8>2HK,700,19,1,,,,
DRAW SLASH (LP),236LP,1500,34,5,75,113,-59,26
DRAW SLASH (HP),236HP,1600,62,4,91,156,-74,19
DRAW SLASH (HP) (CHARGED),236(HP),1600,97,4,91,191,-74,19
DRAW SLASH (HP) (CHARGED) (CRITICAL),236(HP),3000,72,4,91,166,-66,76
>WIDE SLASH,236P>P,1000,34,5(47)3,64,152,-46,-3
>RISING SLASH,236P>2P,1000,34,5(53)6,92,189,-77,-34
>>*OVERHEAD SLASH,236P>P/2P>P,1500,34,5(47)3(59)5,75,227,-59,26
>>RAPID WIDE SLASH,236P>2P>2P,1000,34,5(53)6(41)2(0)1,64,205,-46,
DODGE (FORWARD),5KK,,40,0,0,40,,
>DODGE SLASH (FORWARD),5KK>LP,400,43,4,35,81,-18,-13
DODGE (BACKWARD),4KK,,40,0,0,40,,
>DODGE SLASH (BACKWARD),4KK>LP,400,43,4,35,81,-18,-13
DEMON FLURRY (LP),214LP,100+200+100+200+300(870),15,3(2)3(11)6(11)4,59,113,-42,25
DEMON FLURRY (HP),214HP,100+200+100+200+400(960),23,3(2)3(15)3(1)3(14)4,64,134,-47,24
DEMON FLURRY (LP) (AIR) LOW,8>214LP,300*3(870),22,2(5)2(9)2,23,64,-6,-1
DEMON FLURRY (HP) (AIR) LOW,8>214HP,200*3+400(960),26,3(6)3(8)3(11)3,24,82,-8,17
DEMON FLURRY (LP) (AIR),8>214LP,300*3(870),18,2(5)2(9)2,,,,
DEMON FLURRY (HP) (AIR),8>214HP,200*3+400(960),22,3(6)3(8)3(11)3,,,,
ARROW STRIKE,236LK,1000,21,54,2,76,-30,-3
ARROW STRIKE (CHARGED),236(LK),500*3(1450),61,47,9,116,-31,52
ARC SHOT,236HK,1000+200*6(1980),16,47,0,62,59-65,64-69
ARC SHOT (CHARGED),236(HK),1000+200*12(2760),56,47,0,102,59-65,64-69
TARTARUS STAMPEDE,236PP,3290(4 HITS),19,5,105,128,-91,32
DEMOLISHER DEMON DANCE,214PP,210+420+105*13+315+630+210*3(2863),16,170,71,256,-54,28
DEMOLISHER DEMON DANCE (AIR) LOW,8>214PP,210*7+231*4+262+525(2649),20,115,51,181,0+1F LAND,54
DEMOLISHER DEMON DANCE (AIR),8>214PP,210*7+231*4+262+525(2649),16,115,51,181,0+1F LAND,
METEOR FALL,236KK,800+200*?,17,73,0,89,130-135,136-139
HUNTER'S PRIDE,214KK,5475(7 HITS),18,5,150,172,-136,12
TAUNT,,,51,2(17)2(99)2(18)2,109,301,-99,-100
v DEMON MODE v,,,,,,,,
DASH (FORWARD),5PP,,34,0,0,34,,
DASH (BACKWARD),4PP,,40,0,0,40,,
JUMP (FORWARD),9,,4,40,6,49,,
JUMP (NEUTRAL),8,,4,40,6,49,,
JUMP (BACKWARD),7,,4,40,6,49,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW (FORWARD),6HP,1050(2 HITS),3,1,,,,
THROW (BACKWARD),4HP,1050,3,1,,,,
