MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,24,0,0,24,,,
DASH (BACKWARD),4PP,27,0,0,27,,,
DASH (FORWARD),6>6 (HOLD),131,0,0,131,,,
DASH (BACKWARD),4>4 (HOLD),101,0,0,101,,,
AIR-DASH (FORWARD),8>5PP,38,0,0,38,,,
AIR-DASH (BACKWARD),8>4PP,38,0,0,38,,,
AIR-DASH (UP),8>8PP,48,0,0,48,,,
AIR-DASH (DOWN),8>2PP,48,0,0,48,,,
JUMP (FORWARD),9,4,45,5,53,,,
JUMP (NEUTRAL),8,4,45,5,53,,,
JUMP (BACKWARD),7,4,45,5,53,,,
SUPER-JUMP (FORWARD),29,4,71,5,79,,,
SUPER-JUMP (NEUTRAL),28,4,71,5,79,,,
SUPER-JUMP (BACKWARD),27,4,71,5,79,,,
THROW,4/6HP,3,1,,,800,,
THROW (AIR),8>4/6HP,3,1,,,800,,
LP,5LP,5,2,9,15,200,2,0
HP,5HP,10,8,18,35,600,-6,-2
LK,5LK,8,4,12,23,400,0,2
HK,5HK,11,5,23,38,300+300,-6,13
CROUCH LP,2LP,5,2(3)2,9,20,200+200(360),2,0
CROUCH HP,2HP,9,6,25,39,600,-11,19
CROUCH LK,2LK,8,3,16,26,400,-4,-1
CROUCH HK,2HK,10,2,25,36,600,-8,51
JUMP LP,8LP,5,6,10,20,200,,
JUMP HP,8HP,10,6,21,36,600,,
JUMP LK,8LK,7,10,14,30,400,,
JUMP HK,8HK,11,3,18,31,600,,
HEART PIERCING,6LP,10,18,7,34,100*8(712),5,7
NECRO DESIRE,6LK,10,10,13,32,100*4(370),1,-2
MYSTERY ARC,3HP,14,3,20,36,600,-4,1
SHELL KICK,8>2HK,7,24,20,50,150*8(1140),,
SOUL FIST (LP),236LP,15,2,34,50,800,-10,-12
SOUL FIST (HP),236HP,15,2,34,50,800,-10,-12
SOUL FIST (LP) (AIR),8>236LP,10,36,0,45,800,,
SOUL FIST (HP) (AIR),8>236HP,10,36,0,45,800,,
SHADOW BLADE (LP),22LP,4,10,18,31,1100,-8,32
SHADOW BLADE (HP),22HP,4,17,37,57,1200,-34,26
SHADOW BLADE (LP) (AIR),8>22LP,4,10,18,31,1100,,
SHADOW BLADE (HP) (AIR),8>22HP,4,15,31,49,1200,,
VECTOR DRAIN (LP),63214LP,4,1,24,28,1200,38,38
VECTOR DRAIN (HP),63214HP,13,1,27,40,1800,55,55
HARMONIOUS SPEAR (LK),236LK,47,9,15,70,900,1,78
HARMONIOUS SPEAR (LK) (CHARGED),236(LK),70,0,0,70,900,,
HARMONIOUS SPEAR (HK),236HK,42,9,20,70,900,-4,
HARMONIOUS SPEAR (HK) (CHARGED),236(HK),70,0,0,70,900,,
HARMONIOUS SPEAR (LK) (AIR),8>236LK,27,9,15,50,900,,
HARMONIOUS SPEAR (LK) (AIR) (CHARGED),8>236(LK),50,0,0,50,900,,
HARMONIOUS SPEAR (HK) (AIR),8>236HK,22,9,20,50,900,,
HARMONIOUS SPEAR (HK) (AIR) (CHARGED),8>236(HK),50,0,0,50,900,,
FLIGHT,214KK,134,0,0,134,,,
FLIGHT (AIR),8>214KK,134,0,0,134,,,
>FLIGHT (CANCEL),214KK>214KK,1,0,0,1,,,
FINISHING SHOWER,236PP,19,110,0,128,250*30(4600),-10,38
FINISHING SHOWER (AIR),8>236PP,19,110,0,128,250*30(4600),,
SHADOW SERVANT,22PP,21,53,13,86,800*5+500(3450),-33,35
ASTRAL VISION,22KK,32,0,0,32,,,
DARKNESS ILLUSION (L3HC),214PP,21,47,12,79,5230(16 HITS),-8,83
DARKNESS ILLUSION (L3HC) (AIR),8>214PP,21,47,0,67,5230(16 HITS),,
v ASTRAL VISION v,,,,,,,,
DASH (FORWARD),5PP,24,0,0,24,,,
DASH (BACKWARD),4PP,27,0,0,27,,,
AIR-DASH (FORWARD),8>5PP,38,0,0,38,,,
AIR-DASH (BACKWARD),8>4PP,38,0,0,38,,,
AIR-DASH (UP),8>8PP,48,0,0,48,,,
AIR-DASH (DOWN),8>2PP,48,0,0,48,,,
JUMP (FORWARD),9,4,45,5,53,,,
JUMP (NEUTRAL),8,4,45,5,53,,,
JUMP (BACKWARD),7,4,45,5,53,,,
SUPER-JUMP (FORWARD),29,4,71,5,79,,,
SUPER-JUMP (NEUTRAL),28,4,71,5,79,,,
SUPER-JUMP (BACKWARD),27,4,71,5,79,,,
THROW,4/6HP,3,1,,,640,,
THROW (AIR),8>4/6HP,3,1,,,640,,
LP,5LP,5,2,9,15,160*2(288),,
HP,5HP,10,8,18,35,480*2(960),,
LK,5LK,8,4,12,23,320*2(608),,
HK,5HK,11,5,23,38,240*4(936),,
CROUCH LP,2LP,5,2(3)2,9,20,160*4(544),,
CROUCH HP,2HP,9,6,25,39,480*2(960),,
CROUCH LK,2LK,8,3,16,26,320*2(608),,
CROUCH HK,2HK,10,2,25,36,600*2(960),,
JUMP LP,8LP,5,6,10,20,160*2(288),,
JUMP HP,8HP,10,6,21,36,480*2(960),,
JUMP LK,8LK,7,10,14,30,320*2(576),,
JUMP HK,8HK,11,3,18,31,480*2(960),,
HEART PIERCING,6LP,10,18,7,34,80*16(1096),,
NECRO DESIRE,6LK,10,10,13,32,80*8(584),,
MYSTERY ARC,3HP,14,3,20,36,600*2(960),,
SHELL KICK,8>2HK,7,24,20,50,120*16(1728),,
SOUL FIST (LP),236LP,,,,,640*2(1216),,
SOUL FIST (HP),236HP,,,,,640*2(1216),,
SOUL FIST (LP) (AIR),8>236LP,,,,,640*2(1216),,
SOUL FIST (HP) (AIR),8>236HP,,,,,640*2(1216),,
SHADOW BLADE (LP),22LP,,,,,880*2(1672),,
SHADOW BLADE (HP),22HP,,,,,960*2(1824),,
SHADOW BLADE (LP) (AIR),8>22LP,,,,,880*2(1672),,
SHADOW BLADE (HP) (AIR),8>22HP,,,,,960*2(1824),,
VECTOR DRAIN (LP),63214LP,,,,,960,,
VECTOR DRAIN (HP),63214HP,,,,,1440,,
HARMONIOUS SPEAR (LK),236LK,,,,,720*2(1368),,
HARMONIOUS SPEAR (LK) (CHARGED),236(LK),,,,,720*2(1368),,
HARMONIOUS SPEAR (HK),236HK,,,,,720*2(1368),,
HARMONIOUS SPEAR (HK) (CHARGED),236(HK),,,,,720*2(1368),,
HARMONIOUS SPEAR (LK) (AIR),8>236LK,,,,,720*2(1368),,
HARMONIOUS SPEAR (LK) (AIR) (CHARGED),8>236(LK),,,,,720*2(1368),,
HARMONIOUS SPEAR (HK) (AIR),8>236HK,,,,,720*2(1368),,
HARMONIOUS SPEAR (HK) (AIR) (CHARGED),8>236(HK),,,,,720*2(1368),,
FLIGHT,214K,,,,,,,
FLIGHT (AIR),8>214K,,,,,,,
>FLIGHT (CANCEL),214K>214K,,,,,,,
FINISHING SHOWER,236PP,,,,,250*30(4600),,
FINISHING SHOWER (AIR),8>236PP,,,,,250*30(4600),,
SHADOW SERVANT,22PP,,,,,800*5+500(3450),,
DARKNESS ILLUSION (L3HC),214PP,,,,,5230(16 HITS),,
DARKNESS ILLUSION (L3HC) (AIR),8>214PP,,,,,5230(16 HITS),,
