MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,40,0,0,40,,
DASH (BACKWARD),4PP,,30,0,0,30,,
AIR-DASH (FORWARD),8>5PP,,34,0,0,34,,
AIR-DASH (BACKWARD),8>4PP,,31,0,0,31,,
AIR-DASH (UP),8>8PP,,31,0,0,31,,
AIR-DASH (UP-FORWARD),8>9PP,,34,0,0,34,,
AIR-DASH (UP-BACKWARD),8>7PP,,34,0,0,34,,
AIR-DASH (DOWN),8>2PP,,31,0,0,31,,
AIR-DASH (DOWN-FORWARD),8>3PP,,34,0,0,34,,
AIR-DASH (DOWN-BACKWARD),8>1PP,,34,0,0,34,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,950(2 HITS),3,1,,,,
THROW (AIR),8>4/6HP,950(2 HITS),3,1,,,,
LP,5LP,300,5,3,13,20,-4,-5
HP,5HP,700,9,3,22,33,-6,-1
LK,5LK,500,8,2,17,26,-4,-1
HK,5HK,700,11,3,24,37,-8,-3
CROUCH LP,2LP,300,5,3,13,20,-4,-5
CROUCH HP,2HP,700,12,7,21,39,-8,24
CROUCH LK,2LK,500,8,4,15,26,-4,-1
CROUCH HK,2HK,700,13,3,23,38,-7,52
JUMP LP,8LP,300,5,2,14,20,,
JUMP HP,8HP,700,11,4,24,38,,
JUMP LK,8LK,500,9,2,19,29,,
JUMP HK,8HK,700,13,3,15,30,,
SLASH KICK,8>6HK,700,10,7,24,40,,
AERIAL UPPERCUT,8>6LP,500,8,4,18,29,,
>BACKSTEP KICK,5HK>HK,700,11,1(13)1+2,23,50,-7,29
NOVA SLAM,6HP,700,24,4,27,54,-12,56
SHOOTING PUNCH,3LP,500,11,8,20,38,-13,-10
MOON TRACER KICK,6HK,700,15,4,26,44,-11,16
GRAVIMETRIC PULSE (LP),236LP,1000,16,8,32,55,-14,8
GRAVIMETRIC PULSE (HP),236HP,1000,16,8,32,55,-14,1
GRAVIMETRIC PULSE (LP) (AIR),8>236LP,1000,17,8,33,57,,
GRAVIMETRIC PULSE (HP) (AIR),8>236HP,1000,17,8,33,57,,
NOVA STRIKE (LP),214LP,900,19,10,13,41,-4,23
NOVA STRIKE (HP),214HP,900,19,10,25,53,-16,16
NOVA STRIKE (LP) (AIR),8>214LP,900,19,12,16,46,,
NOVA STRIKE (HP) (AIR),8>214HP,900,19,11,25,54,,
CENTURION RUSH (LK),214LK,1000,13,16,23,51,-20,39
CENTURION RUSH (HK),214HK,1000,29,15,9,52,-3,2
CENTURION RUSH (LK) (AIR),8>214LK,1000,13,15,10,37,,
CENTURION RUSH (HK) (AIR),8>214HK,1000,45,9,20,73,-10,40
ENERGY JAVELIN (LP),22LP,400+800,25,31,0,55,32,58
ENERGY JAVELIN (HP),22HP,500+1000,33,28,0,60,28,54
ENERGY JAVELIN (LP) (AIR),8>22LP,400+800,25,31,0,55,,
ENERGY JAVELIN (HP) (AIR),8>22HP,500+1000,33,28,0,60,,
FLIGHT,214KK,,134,0,0,134,,
FLIGHT (AIR),8>214KK,,134,0,0,134,,
>FLIGHT (CANCEL),214KK>214KK,,1,0,0,1,,
GRAVIMETRIC BLASTER,236PP,60*28(1350)-120*36(3240),12,74,46,131,-29,47
GRAVIMETRIC BLASTER (AIR),8>236PP,60*28(1350)-120*36(3240),12,74,46,131,,
SUPER NOVA,214PP,140*33(3402),14,33,57,103,-39,44
SUPER NOVA (AIR),8>214PP,140*33(3402),14,33,57,103,,
NOVA PRIME (L3HC),236KK,5230(8 HITS),15,25,31,70,-37,40
v WITH 3 HYPER METERS v,,,,,,,,
DASH (FORWARD),5PP,,40,0,0,40,,
DASH (BACKWARD),4PP,,30,0,0,30,,
AIR-DASH (FORWARD),8>5PP,,34,0,0,34,,
AIR-DASH (BACKWARD),8>4PP,,31,0,0,31,,
AIR-DASH (UP),8>8PP,,31,0,0,31,,
AIR-DASH (UP-FORWARD),8>9PP,,34,0,0,34,,
AIR-DASH (UP-BACKWARD),8>7PP,,34,0,0,34,,
AIR-DASH (DOWN),8>2PP,,31,0,0,31,,
AIR-DASH (DOWN-FORWARD),8>3PP,,34,0,0,34,,
AIR-DASH (DOWN-BACKWARD),8>1PP,,34,0,0,34,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,950(2 HITS),3,1,,,,
THROW (AIR),8>4/6HP,950(2 HITS),3,1,,,,
LP,5LP,300,5,3,13,20,-4,-5
HP,5HP,700,9,3,22,33,-6,-1
LK,5LK,500,8,2,17,26,-4,-1
HK,5HK,700,11,3,24,37,-8,-3
CROUCH LP,2LP,300,5,3,13,20,-13,-5
CROUCH HP,2HP,700,12,7,21,39,-8,24
CROUCH LK,2LK,500,8,4,15,26,-4,-1
CROUCH HK,2HK,700,13,3,23,38,-7,52
JUMP LP,8LP,300,5,2,14,20,,
JUMP HP,8HP,700,11,4,24,38,,
JUMP LK,8LK,500,9,2,19,29,,
JUMP HK,8HK,700,13,3,15,30,,
SLASH KICK,8>6HK,700,10,7,24,40,,
AERIAL UPPERCUT,8>6LP,500,8,4,18,29,,
>BACKSTEP KICK,5HK>HK,700,11,1(13)1+2,23,50,-7,29
NOVA SLAM,6HP,700,24,4,27,54,-12,56
SHOOTING PUNCH,3LP,500,11,8,20,38,-13,-10
MOON TRACER KICK,6HK,700,15,4,26,44,-11,16
GRAVIMETRIC PULSE (LP),236LP,500+700,16,8,32,55,-19,39
GRAVIMETRIC PULSE (HP),236HP,500+700,16,8,32,55,-19,45
GRAVIMETRIC PULSE (LP) (AIR),8>236LP,500+700,17,8,33,57,,
GRAVIMETRIC PULSE (HP) (AIR),8>236HP,500+700,17,8,33,57,,
NOVA STRIKE (LP),214LP,900,19,10,13,41,-4,23
NOVA STRIKE (HP),214HP,900,19,10,25,53,-16,16
NOVA STRIKE (LP) (AIR),8>214LP,900,19,12,16,46,,
NOVA STRIKE (HP) (AIR),8>214HP,900,19,11,25,54,,
CENTURION RUSH (LK),214LK,1000,13,16,23,51,-20,39
CENTURION RUSH (HK),214HK,1000,29,15,9,52,-3,2
CENTURION RUSH (LK) (AIR),8>214LK,1000,13,15,10,37,,5
CENTURION RUSH (HK) (AIR),8>214LK,1000,41,9,20,69,-10,40
ENERGY JAVELIN (LP),22LP,250*2+500/500+500,25,21,0,45,45,131
ENERGY JAVELIN (HP),22HP,350*2+700/700+700,36,18,0,53,41,127
ENERGY JAVELIN (LP) (AIR),8>22LP,250*2+500/500+500,25,21,0,45,,
ENERGY JAVELIN (HP) (AIR),8>22HP,350*2+700/700+700,33,18,0,50,,
FLIGHT,214KK,,134,0,0,134,,
FLIGHT (AIR),8>214KK,,134,0,0,134,,
>FLIGHT (CANCEL),214KK>214KK,,1,0,0,1,,
GRAVIMETRIC BLASTER,236PP,60*28(1350)-120*36(3240),12,74,46,131,-29,47
GRAVIMETRIC BLASTER (AIR),8>236PP,60*28(1350)-120*36(3240),12,74,46,131,,
SUPER NOVA,214PP,140*33(3402),14,33,57,103,-40,44
SUPER NOVA (AIR),8>214PP,140*33(3402),14,33,57,103,,
NOVA PRIME (L3HC),236KK,5230(8 HITS),,,,,-37,40
