MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,25,0,0,25,,
DASH (BACKWARD),4PP,,25,0,0,25,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,100*3+90+630,3,1,,,,
THROW (AIR),8>4/6HP,100*3+630,3,1,,,,
LP,5LP,200,4,3,8,14,2,0
HP,5HP,600,13,3,30,45,-10,-6
LK,5LK,400,8,4,19,30,-1,1
HK,5HK,600,12,29,0,40,-3,1
CROUCH LP,2LP,200,4,3,9,15,1,-1
CROUCH HP,2HP,600,11,3,24,37,-7,23
CROUCH LK,2LK,400,7,2,16,24,-3,0
CROUCH HK,2HK,600,11,17,31,58,-29,30
JUMP LP,8LP,200,5,3,12,19,,
JUMP HP,8HP,600,10,9,15,33,,
JUMP LK,8LK,400,7,7,9,22,,
JUMP HK,8HK,100+500,9,18(1)3,5,35,,
SUCKER PUNCH,6LP,400,8,2,13,22,1,3
WILD RIPPER,6HP,600,11,12,20,42,-12,-8
HOVER,8>(8),,,,,,,
SPITFIRE (LP),236LP,600,15,35,0,49,-9,-11
SPITFIRE (HP),236HP,600,15,35,0,49,-8,-10
SPITFIRE TWICE (LP),236P>LP,600,15,1,,,-15,-17
SPITFIRE TWICE (HP),236P>HP,600,15,1,,,-10,-12
SPITFIRE (LP) (AIR),8>236LP,600,15,1,,,,
SPITFIRE (HP) (AIR),8>236HP,600,15,1,,,,
SPITFIRE TWICE (LP) (AIR),8>236P>LP,600,15,1,,,,
SPITFIRE TWICE (HP) (AIR),8>236P>HP,600,15,1,,,,
SPITSPARK (LK),236LK,700,26,41,0,66,-15,47
SPITSPARK (HK),236HK,700,26,41,0,66,-14,48
SPITSPARK (LK) (AIR),8>236LK,800,,,,,,
SPITSPARK (HK) (AIR),8>236HK,800,,,,,,
GROOT SLAM,214LK,500+800,31,3,2,35,60,151
GROOT SLAM (AIR),8>214LK,500+800,,,,,,
GROOT SPLINTER,214HK,300*5(1410),40,0,0,40,53,142
GROOT SPLINTER (AIR),8>214HK,300*5(1410),,,,,,
ANGEL GIFT,214LP,400*3(1160),30,0,0,30,40,102
GRAB BAG,214HP,100*10(960),40,0,0,40,58,47
TUNNEL RAT (LP),22LP,,16,7,24,46,,
TUNNEL RAT (HP/HOLD),22HP,,16,120,24,159,,
TUNNEL RAT (HP) (HP RELEASE),22HP>HP,,39,0,0,39,,
>MOVE,22(HP)>4/6,,,,,,,
ROCKET SKATE (FORWARD),5KK,,36,0,0,36,,
ROCKET SKATE (BACKWARD),4KK,,36,0,0,36,,
ROCKET SKATE (UP),8KK,,36,0,0,36,,
ROCKET SKATE (UP-FORWARD),9KK,,36,0,0,36,,
ROCKET SKATE (UP-BACKWARD),7KK,,36,0,0,36,,
ROCKET SKATE (FORWARD) (AIR),8>5KK,,36,0,0,36,,
ROCKET SKATE (BACKWARD) (AIR),8>4KK,,36,0,0,36,,
ROCKET SKATE (UP) (AIR),8>8KK,,36,0,0,36,,
ROCKET SKATE (UP-FORWARD) (AIR),8>9KK,,36,0,0,36,,
ROCKET SKATE (UP-BACKWARD) (AIR),8>7KK,,36,0,0,36,,
ROCKET SKATE (DOWN) (AIR),8>2KK,,36,0,0,36,,
ROCKET SKATE (DOWN-FORWARD) (AIR),8>3KK,,36,0,0,36,,
ROCKET SKATE (DOWN-BACKWARD) (AIR),8>1KK,,36,0,0,36,,
ROCK 'N' ROLL,236PP,100*36+700(3270),13,77(66)11,105,271,-89,-1
MAD HOPPER SET,214PP,,49,0,0,49,,
MAD HOPPER SET HIT,214PP,500*8(3150),17,23,10,49,9,95
ANIMAL COMBINATION (L3HC),236KK,5350(11 HITS),22,66,80,167,-61,88
