MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,30,0,0,30,,
DASH (BACKWARD),4PP,,28,0,0,28,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
STAND LP,5LP,300,5,3,7,14,3,1
STAND HP,5HP,700,11,3,21,34,-4,0
STAND LK,5LK,500,8,2,21,30,-7,-5
STAND HK,5HK,700,12,6,17,34,-3,1
CROUCH LP,2LP,300,5,2,14,20,-3,-5
CROUCH HP,2HP,700,10,5,21,35,-6,24
CROUCH LK,2LK,500,8,4,15,26,-4,-1
CROUCH HK,2HK,700,10,4,33,46,-18,41
JUMP LP,8LP,300,5,10,5,19,,
JUMP HP,8HP,700,9,5,17,30,,
JUMP LK,8LK,500,7,7,17,30,,
JUMP HK,8HK,700,8,6,17,30,,
>SEIKEN TSUKI,5LP/2LP>6LP,500,5,1(5)6,16,32,-6,-4
>HIZA GERI,5LP/5LK/2LP/6LP>6LK,500,5,1(7)2,21,35,-12,-8
COLLARBONE BREAKER,6HP,300+300,24,4(0)4,20,51,-4,0
AERIAL HIZA GERI,8>2LK,500,8,11,7,25,,
SUKUI TSUKI,8>6LP,250+250(475),10,8,11,28,,
AERIAL MAWASHI GERI,8>6HK,700,8,6,17,30,,
HADOUKEN (LP),236LP,1000,7,2,42,50,-18,-14
HADOUKEN (HP),236HP,1000,11,2,43,55,-19,-15
SEN HADOKEN (HP) (CHARGED),236(HP),125*5(599)-250*9(1975),93,21,24,137,-7,8
HADOUKEN (LP) (AIR),8>236LP,1000,7,2,42,50,-18,-14
HADOUKEN (HP) (AIR),8>236HP,1000,11,2,43,55,-19,-15
SEN HADOKEN (HP) (AIR) (CHARGED),8>236(HP),125*5(599)-250*9(1975),93,21,24,137,-7,8
SHORYUKEN (LP),623LP,1000/1200,4,14,34,51,-28,2
SHORYUKEN (HP),623HP,1000/1500,5,22,57,83,-55,-14
TATSUMAKI SENPUKYAKU (LK),214LK,200+800,4,1(8)3,25,40,-8,91
TATSUMAKI SENPUKYAKU (HK),214HK,400+400+400(1160),13,3(9)3(9)3,25,64,-8,25
AERIAL TATSUMAKI SENPUKYAKU (FORWARD) (LK),8>214LK,800,7,3,30,39,,
AERIAL TATSUMAKI SENPUKYAKU (FORWARD) (HK),8>214HK,400+400+400(1160),7,3(9)3(9)3,30,63,,
AERIAL TATSUMAKI SENPUKYAKU (DOWN) (LK),8>236LK,1100+1100(2090),7,3(3)3(3)2,15,35,,
AERIAL TATSUMAKI SENPUKYAKU (DOWN) (HK),8>236HK,400+400+400(1160),7,3(3)3(3)3(3)3(3)3,2,35,,
JODAN SOKUTO GERI (LK),236LK,1000,17,12,22,50,-14,35
JODAN SOKUTO GERI (HK),236HK,1000,20,12,34,65,-26,69
SHINKU HADOKEN,236PP,72*28(1547)-145*32(3400),13,66,47,125,-29,23
SHINKU HADOKEN (STRAIGHT UP),236PP>8,145*28(3057),,,,,,
SHINKU HADOKEN (AIR),8>236PP,72*27(1511)-145*31(3328),13,65,67,144,,
SHINKU HADOKEN (STRAIGHT DOWN) (AIR),8>236PP>2,72-145*31(3328),13,65,67,143,,
SHINKU TATSUMAKI,214KK,240*17+1000(3644),12,109,31,151,-23,54
SHIN SHORYUKEN (L3HC),236KK,5440(4 HITS),16,41,41,97,-39,49
SHIN SHORYUKEN (L3HC) (SATSUI NO HADO),236KK,6490(4 HITS),16,41,41,97,-39,43
