MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,38,0,0,38,,
DASH (BACKWARD),4PP,,38,0,0,38,,
AIR-DASH (FORWARD),8>5PP,,37,0,0,37,,
AIR-DASH (BACKWARD),8>4PP,,37,0,0,37,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,600,8,3,16,26,-4,-1
HP,5HP,800,13,4,30,46,-14,-9
LK,5LK,600,10,7,25,41,-15,-12
HK,5HK,800,12,5,45,61,-28,-6
CROUCH LP,2LP,600,7,6,20,32,-11,-8
CROUCH HP,2HP,800,14,4,48,65,-32,-1
CROUCH LK,2LK,600,9,6,29,43,-19,-16
CROUCH HK,2HK,800,13,6,34,52,-17,38
JUMP LP,8LP,600,5,6,26,36,,
JUMP HP,8HP,800,14,4,47,64,,
JUMP LK,8LK,600,7,4,44,54,,
JUMP HK,8HK,800,14,6,38,57,,
OVERLOAD LASER,6HP,600,18,9,24,50,-8,71
ARC DIVIDE (LP),236LP,700+200*3(1132),18,2,33,52,14,38
ARC DIVIDE (HP),236HP,700+200*3(1132),19,2,37,57,-20,42
ARC DIVIDE (LK),236LK,800+200*3(1232),26,4,37,66,-22,13 / 74
ARC DIVIDE (HK),236HK,800+200*3(1232),25,3,48,75,-32,23 / 32
>SECOND DIVIDE (LK),236P/K>LK,800+200*3(1232),26,4,37,66,-21,74
>SECOND DIVIDE (HK),236P/K>HK,800+200*3(1232),25,3,48,75,1,32
>SECOND DIVIDE (LK),236LP>LK,800+200*3(1232),18,2(6)0(25)4,37,91,-21,74
>SECOND DIVIDE (HK),236LP>HK,800+200*3(1232),18,2(13)0(24)3,48,107,1,32
STRAIGHT DIVIDE (LP),214LP,500+800,20,20(6)5,24,74,-36,37
STRAIGHT DIVIDE (HP),214HP,500+800,20,17(6)6,24,72,-4,65
STRAIGHT DIVIDE (LP) (AIR),8>214LP,500+800,18,20(10)5,20,72,0,43
STRAIGHT DIVIDE (HP) (AIR),8>214HP,500+800,18,17(6)6,23,69,-3,70
REFLECTOR MAGNUM (LK),214LK,400*2,20,32,0,51,-7,15
REFLECTOR MAGNUM (HK),214HK,400*2,20,32,0,51,-7,15
MIRAGE CLAW (LP),22LP,1500,7,3,52,61,50,50
MIRAGE CLAW (HP),22HP,2000,18,3,53,73,79,79
COUNTER TELEPORT (LK),22LK,1000,6,25,19,49,,
COUNTER TELEPORT (HK),22HK,1000,12,26,15,52,,
DOOM BUSTER,236PP,500*5(2200),12,34,23,68,-12,47
DOOM BUSTER (AIR),8>236PP,500*5(2200),12,32,28,71,,
BLAZING LINE,236KK,500*?+600*?,15,65,0,79,2-20,58-76
RAVE DIVIDE,214PP,800*4+600+900(3530),21,3(26)4(17)2(30)6(22)3(8)3,62,206,-46,28
FINAL SIGMA (L3HC),214KK,5635(9 HITS),14,3,68,84,-52,24
