MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),PP,,36,0,0,36,,
DASH (BACKWARD),4PP,,41,0,0,41,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,950(2 HITS),3,1,,,60,55
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,6,3,11,19,-2,-3
HP,5HP,700,12,9,15,35,-5,0
LK,5LK,500,9,6,18,32,-9,-6
HK,5HK,700,10,2,49,60,-32,-27
CROUCH LP,2LP,300,6,3,16,24,-7,-8
CROUCH HP,2HP,700,10,4,25,38,-4,25
CROUCH LK,2LK,500,8,4,9,20,2,5
CROUCH HK,2HK,700,15,4,34,52,-19,40
JUMP LP,8LP,300,6,5,13,23,,
JUMP HP,8HP,700,10,4,22,35,,
JUMP LK,8LK,500,9,9,16,33,,
JUMP HK,8HK,700,9,7,31,46,,
THROAT SHOCK,3LP,500,9,4,20,32,-9,-6
LEG BREAKER,3HP,750,14,2,21,36,-4,23
RIGHT HOOK,6HP,800,25,3,21,48,-2,4
HEAD SMASHER,8>2HP,700,10,4,22,35,,
WIRE GRAPPLE (LP),236LP,100,12,25,43,79,-25,-43
WIRE GRAPPLE (HP),236HP,100,12,25,43,79,-25,-43
WIRE GRAPPLE (LK),236LK,100,12,25,43,79,,
WIRE GRAPPLE (HK),236HK,100,12,25,43,79,,
>REEL IN PUNCH,236P/K>LP,910(2 HITS),,,,,,65
>COME 'ERE,236P/K>HP,,,,,,,0
WIRE GRAPPLE (LP) (AIR),8>236LP,990(2 HITS),14,15,26,54,-8,71
WIRE GRAPPLE (HP) (AIR),8>236HP,990(2 HITS),14,15,26,54,,
WIRE GRAPPLE (LK) (AIR),8>236LK,990(2 HITS),14,15,26,54,,
WIRE GRAPPLE (HK) (AIR),8>236HK,990(2 HITS),14,15,26,54,-8,71
JAW BREAKER (LK),22LK,500,6,2,30,37,37,37
JAW BREAKER (HK),22HK,500,6,3,29,37,,
>SMASH KICK,22K>HK,725(2 HITS),,,,,,
>CRITICAL KICK,22K>HK,1175(2 HITS),,,,,,
ARMOR PIERCER (LP),214LP,800,3,4,30,36,-15,79
ARMOR PIERCER (HP),214HP,1300,24,6,29,58,-16,82
ZIP LINE (FORWARD) FULL SCREEN,5KK,200,11,18,36,64,-26,-14
ZIP LINE (FORWARD),5KK,200,11,1,19,30,-12,0
ZIP LINE (BACKWARD),4KK,200,11,1,19,30,,
ZIP LINE (UP),8KK,200,11,9,17,36,,
ZIP LINE (UP-FORWARD),9KK,200,11,1,9,20,,
ZIP LINE (UP-BACKWARD),7KK,200,11,1,9,20,,
ZIP LINE (FORWARD) (AIR),8>5KK,200,11,18,26,54,,
ZIP LINE (FORWARD) (AIR),8>5KK,200,11,1,9,20,,
ZIP LINE (BACKWARD) (AIR),8>4KK,200,11,1,9,20,,
ZIP LINE (UP) (AIR),8>8KK,,29,0,0,29,,
ZIP LINE (DOWN) (AIR),8>2KK,200,11,1,,,,
ZIP LINE (DOWN-FORWARD) (AIR),8>3KK,200,11,1,,,,
ZIP LINE (DOWN-BACKWARD) (AIR),8>1KK,200,11,1,,,,
BIONIC BOMBER (LK),8>214LK,600+700(1230),20,23,26,68,-11,60
BIONIC BOMBER (HK),8>214HK,600+1000(1500),38,18,16,71,-1,74
HAND GRENADE (LK),214LK,800,27,21,0,47,56,79
HAND GRENADE (HK),214HK,800,33,21,0,53,,
>ZIP GRENADE (FORWARD),214K>5KK,200+800,,,,,,
>ZIP GRENADE (BACKWARD),214K>4KK,200+800,,,,,,
>ZIP GRENADE (UP-FORWARD),214K>9KK,200+800,,,,,,
>ZIP GRENADE (UP-BACKWARD),214K>7KK,200+800,,,,,,
>ZIP GRENADE (FORWARD) (AIR),214K>8>5KK,200+800,,,,,,
>ZIP GRENADE (BACKWARD) (AIR),214K>8>4KK,200+800,,,,,,
>ZIP GRENADE (DOWN-FORWARD) (AIR),214K>8>3KK,200+800,,,,,,
>ZIP GRENADE (DOWN) (AIR),214K>8>2KK,200+800,,,,,,
>ZIP GRENADE (DOWN-BACKWARD) (AIR),214K>8>1KK,200+800,,,,,,
BIONIC MANEUVERS,236PP,3430(6 HITS),15,27,29,67,-9,58
BIONIC LANCER,236KK,2300,11,9,53,72,-41,30
COUP DE GRÂCE (L3HC),214PP,5190(2 HITS),11,2,68,80,26,26
