MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,40,0,0,40,,
DASH (BACKWARD),4PP,,43,0,0,43,,
AIR-DASH (FORWARD),8>5PP,,28,0,0,28,,
AIR-DASH (BACKWARD),8>4PP,,26,0,0,26,,
JUMP (FORWARD),9,,4,40,11,54,,
JUMP (NEUTRAL),8,,4,40,11,54,,
JUMP (BACKWARD),7,,4,40,11,54,,
SUPER-JUMP (FORWARD),29,,4,71,11,85,,
SUPER-JUMP (NEUTRAL),28,,4,71,11,85,,
SUPER-JUMP (BACKWARD),27,,4,71,11,85,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,400,5,4,14,22,-6,-7
HP,5HP,800,10,3,27,39,-11,-6
LK,5LK,300*2(570),9,6,29,43,-17,-14
HK,5HK,400*2,15,2(3)2,40,61,-23,-18
CROUCH LP,2LP,400,6,4,14,23,-6,-7
CROUCH HP,2HP,800,13,3,26,41,-10,21-Jun
CROUCH LK,2LK,300*2(570),9,5,33,46,-21,-18
CROUCH HK,2HK,300*3(870),15,11,31,56,-15,22 / 52
JUMP LP,8LP,400,5,6,21,31,,
JUMP HP,8HP,800,9,4,33,45,,
JUMP LK,8LK,300*2(570),11,7,34,51,,
JUMP HP,8HK,400*2,14,8,30,51,,
HAND BOMB,6LP,700,10,11,20,40,-12,-7
INSOLENCE CRUSHER,6HP,900,25,3,33,60,-15,39 / 78
TITAN'S GAZE,6HK,208*3(603)-336*3(974),17,20,19,55,-3,36 / 66
PALM BREAKER,8>6HP,800,15,8,22,44,,
TITAN CHARGE (LP),236LP,1600,18,7,19,43,-6,41 / 71
TITAN CHARGE (HP),236HP,800+1300(1970),33,3,31,66,-21,37 / 67
INSURRECTION'S END (LP),63214LP,1600,9,3,33,44,24 / 54,24 / 54
INSURRECTION'S END (HP),63214HP,1900,19,2,36,56,Oct-40,Oct-40
TITAN SHIELD (LK),214LK,250*3-250*5(1200),20,24,0,43,34,33
TITAN SHIELD (HK),214HK,800*3(2160),11,20,27,57,,
EMPEROR'S STANCE (LK),236LK,1000,19,6,38,62,-13,92 / 122
EMPEROR'S STANCE (HK),236HK,1100,20,5,29,53,-3,48 / 78
TITAN'S DECEIT (LP),22LP,,17,14,16,46,,
TITAN'S DECEIT (HP),22HP,,16,19,3,37,,
FINAL JUDGEMENT,236PP,700+100*44(3630)-700*39(2040),22,100,57,178,-40,19
SOVEREIGN DECREE,8>236PP,800*5+1900(4150)-800*12+1900(6204),11,25,28,63,-28+1F LAND,37 / 67
COSMIC FALL (L3HC),214PP,5940(6 HITS),16,10,55,80,-46,16
