MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),PP,,36,0,0,36,,
DASH (BACKWARD),4PP,,38,0,0,38,,
AIR-DASH (FORWARD),8>PP,,37,0,0,37,,
AIR-DASH (BACKWARD),8>4PP,,37,0,0,37,,
AIR-DASH (UP),8>8PP,,37,0,0,37,,
AIR-DASH (UP-FORWARD),8>9PP,,37,0,0,37,,
AIR-DASH (UP-BACKWARD),8>7PP,,37,0,0,37,,
AIR-DASH (DOWN),8>2PP,,37,0,0,37,,
AIR-DASH (DOWN-FORWARD),8>3PP,,37,0,0,37,,
AIR-DASH (DOWN-BACKWARD),8>1PP,,37,0,0,37,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,1000(2 HITS),3,1,,,,
THROW (AIR),8>4/6HP,1000(2 HITS),3,1,,,,
LP,5LP,300,5,6,10,20,-3,-5
HP,5HP,700,10,4,27,40,-11,-7
LK,5LK,500,9,5,17,30,-6,-4
HK,5HK,700,11,5,27,42,-10,-6
CROUCH LP,2LP,300,5,7,9,20,-3,-5
CROUCH HP,2HP,700,12,5,25,41,-9,21
CROUCH LK,2LK,500,7,6,18,30,-9,-6
CROUCH HK,2HK,700,13,3,25,40,-9,50
JUMP LP,8LP,300,5,6,10,20,,
JUMP HP,8HP,700,11,4,21,35,,
JUMP LK,8LK,500,7,8,16,30,,
JUMP HK,8HK,700,11,3,31,44,,
SPEAR NEEDLE,6LP,300,10,5,19,33,-8,-6
RAID SLASH,6LK,500,18,8,14,39,-6,-4
ERASER,3HK,127*3-232*4(905),10,21,20,50,-1,1
DEATH RAY (LP),236LP,100*4(390)-200*8(1421),17,21,34,71,-12,-21
DEATH RAY (HP),236HP,100*4(390)-200*8(1421),17,21,34,71,-11,-20
DEATH RAY (LP) (AIR),8>236LP,100*4(390)-200*8(1421),17,21,34,71,,
DEATH RAY (HP) (AIR),8>236HP,100*4(390)-200*8(1421),17,21,34,71,,
MELT BLAST (LK),236LK,1060(3 HITS),7,14,39,59,-33,70
MELT BLAST (HK),236HK,1340(3 HITS),9,14,48,70,-42,78
FATAL SWIPE (LK),8>236LK,1070(3 HITS),13,2,25,39,-7,66
FATAL SWIPE (HK),8>236HK,1320(3 HITS),21,3,30,53,-13,53
FATAL SWIPE (LK),8>236LK,1070(3 HITS),14,2,25,40,-7,66
FATAL SWIPE (HK),8>236HK,1320(3 HITS),22,3,30,54,-13,53
PROTONIUM EMITTER (LP),214LP,100*10(960),28,20,3,50,25,23
PROTONIUM EMITTER (HP),214HP,60*20(1140),41,39,1,80,38,36
SMASH DRONE,214LK,700,29,0,0,29,70,124
SMASH DRONE (AIR),8>214LK,700,29,0,0,29,,
BLASTER DRONE,214HK,150-300*4(1140),29,0,0,29,77,51
BLASTER DRONE (AIR),8>214HK,150-300*4(1140),29,0,0,29,,
FLIGHT,214KK,,134,0,0,134,,
FLIGHT (AIR),8>214KK,,134,0,0,134,,
>FLIGHT (CANCEL),214KK>214KK,,1,0,0,1,,
DESTRUCTION WAVE,236PP,50*44(1640)-100*48(3472),13,100,59,171,-36,27
DESTRUCTION WAVE,236PP,50*44(1640)-100*48(3472),,,,,,
ENCEPHALO-RAY,214PP,1440,13,2,83,97,192,192
SENTRY LEGION (L3HC),236KK,5488(52 HITS),22,4,58,83,-42,24
