MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,31,0,0,31,,
DASH (BACKWARD),4PP,,33,0,0,33,,
AIR-DASH (FORWARD),8>5PP,,37,0,0,37,,
AIR-DASH (BACKWARD),8>4PP,,37,0,0,37,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW,4/6HP,1000,3,1,,,,
THROW (AIR),8>4/6HP,1000,3,1,,,,
LP,5LP,300,5,2,11,17,-1,-2
HP,5HP,700,9,5,26,39,-10,-5
LK,5LK,500,8,4,19,30,-4,1
HK,5HK,700,14,4,21,38,-5,0
CROUCH LP,2LP,300,6,3,9,17,0,-1
CROUCH HP,2HP,700,10,8,23,40,-10,22
CROUCH LK,2LK,500,7,3,26,35,-10,-5
CROUCH HK,2HK,700,12,3,32,46,-16,43
JUMP LP,8LP,300,5,8,7,19,,
JUMP HP,8HP,700,9,8,21,37,,
JUMP LK,8LK,500,8,3,26,36,,
JUMP HK,8HK,700,12,4,25,40,,
BUSTER BLOW,6HP,700,8,4,28,39,-13,-8
SHOULDER TACKLE,6HK,750,19,3,27,48,-11,-6
POINT BLANK BUSTER,8>2HP,700,14,8,17,38,,
X BUSTER (LP),236LP,700,11,31,0,41,-6,-13
X BUSTER (LP) (LVL 2),236(LP),500*2,25,36,0,60,-13,63
X BUSTER (LP) (LVL 2) HOLD,236(LP),500*2,95,36,0,130,-13,63
X BUSTER (HP),236HP,700,11,31,0,41,-6,-13
X BUSTER (HP) (LVL 2),236(HP),500*2,25,36,0,60,-13,63
X BUSTER (HP) (LVL 2) HOLD,236(HP),500*2,95,36,0,130,-13,63
>BUSTER COMBO: DASH,236P>LP,,11,59,0,69,-4,-6
>BUSTER COMBO: BUSTER HAMMER,236P>HP,1200,11,62,0,72,-6,77
>BUSTER COMBO: BACKSTEP,236P>LK,,11,53,0,63,-29,-36
>BUSTER COMBO: SLIDE,236P>HK,900,11,47,0,57,-17,42
X BUSTER (LP) (AIR),8>236LP,700,11,31,0,41,,
X BUSTER (LP) (AIR) (LVL 2),8>236(LP),500*2,,,,,,
X BUSTER (HP) (AIR),8>236HP,700,11,31,0,41,,
X BUSTER (HP) (AIR) (LVL 2),8>236(HP),500*2,,,,,,
SONIC SLICER (LP),214LP,600,12,33,0,44,-8,-15
SONIC SLICER (HP),214HP,600,12,33,0,44,-8,-15
>SONIC SLICER (LP) (2ND),214P/236K/214K/22P>214LP,400*2,,,,,,
