MoveName,Input,Damage,Startup,Active,Recovery,Total,BlockAdvantage,HitAdvantage
DASH (FORWARD),5PP,,35,0,0,35,,
DASH (BACKWARD),4PP,,30,0,0,30,,
AIR-DASH (FORWARD),8>5PP,,32,0,0,32,,
AIR-DASH (BACKWARD),8>4PP,,32,0,0,32,,
JUMP (FORWARD),9,,4,42,6,51,,
JUMP (NEUTRAL),8,,4,42,6,51,,
JUMP (BACKWARD),7,,4,42,6,51,,
SUPER-JUMP (FORWARD),29,,4,71,6,80,,
SUPER-JUMP (NEUTRAL),28,,4,71,6,80,,
SUPER-JUMP (BACKWARD),27,,4,71,6,80,,
THROW (FORWARD),6HP,930(6 HITS),3,1,,,,
THROW (BACKWARD),4HP,1000,3,1,,,,
THROW (AIR) (FORWARD),8>6HP,930(6 HITS),3,1,,,,
THROW (AIR) (BACKWARD),8>4HP,1000,,,,,,
LP,5LP,200,5,3,12,19,-2,-4
HP,5HP,200*3,12,9,18,38,-1,3
LK,5LK,400,8,4,19,30,-3,1
HK,5HK,600,13,6,24,42,-10,-6
CROUCH LP,2LP,200,9,5,19,32,-8,-6
CROUCH HP,2HP,600,12,7,17,35,-4,26
CROUCH LK,2LK,400,8,5,23,35,-9,-4
CROUCH HK,2HK,600,14,9,18,40,-8,51
JUMP LP,8LP,200,7,7,13,26,,
JUMP HP,8HP,200*3(560),13,2(2)2(2)2(4)9,7,42,,
JUMP LK,8LK,400,6,5,18,28,,
JUMP HK,8HK,600,16,5,20,40,,
YOUDANTOTSU,6LP,250,8,4,14,25,2,6
SHIPPUUGA,6HP,250*3,14,9,28,50,-11,-7
RESHOUKYAKU,6HK,600,10,5,47,61,-32,-5
KOKETSUGA,3HP,700,10,3,23,35,-7,52
KUUENZAN,8>4HP,250*3,12,2(1)2(2)3(3)3(1)2,7,37,,
RASENKYAKU,8>6HK,650,11,3,28,41,,
HIENKYAKU (LP),214LP,,7,12,18,36,,
HIENKYAKU (HP),214HP,,7,21,18,45,,
HIENKYAKU (LK),214LK,,7,22,16,44,,
HIENKYAKU (HK),214HK,,7,22,16,44,,
HIENKYAKU (LP) (AIR),8>214LP,,7,10,2,18,,
HIENKYAKU (HP) (AIR),8>214HP,,7,23,2,31,,
HIENKYAKU (LK) (AIR),8>214LK,,9,12,6,26,,
HIENKYAKU (HK) (AIR),8>214HK,,7,22,,,,
HYPER ZERO BLASTER (LVL 1),(P/K)>release,800,9,22,0,30,4,-11
HYPER ZERO BLASTER (LVL 2),(P/K)>release,900,9,22,0,30,4,-4
HYPER ZERO BLASTER (LVL 3),(P/K)>release,1000,9,22,0,30,4,80
HADANGEKI (LP),236LP,1000,18,8,19,44,-1,-3
HADANGEKI (HP),236HP,550*2,18,16,11,44,7,-1
>RAKUHOUHA,(P/K)>236P>L3 release,500*3(1450),,,,,,
RYUENJIN (LP),22LP,1000,5,1(4)1(6)1(6)4,16,43,-26,16
RYUENJIN (HP),22HP,150*5(735)/500+150*4(1055),5,27,31,62,-29,5
>HYOURETSUZAN,(P/K)>22P>L3 release,500*2,,,,,,
SENTSUIZAN (LK),8>236LK,1000,15,1,,,,
SENTSUIZAN (HK),8>236HK,1000,20,1,,,,
>F-SPLASHER,(P/K)>8>236K>L3 release,800,,,,,,
RAIKOUSEN (LP),8>236LP,200*5(960),32,20,,,,
RAIKOUSEN (HP),8>236HP,200*5(960),35,20,,,,
>C-SWORD,(P/K)>8>236P>L3 release,300*3(870),,,,,,
REKKOHA,236PP,360*13+450(3681),17,70,29,115,-13,81
RAIJINSHOU,22PP,300+250+220*12+500,16,106,57,178,-51,46
SOUGENMU,22KK,,18,0,0,18,,
GENMU ZERO (L3HC),214PP,1500*5(4800),20,59,0,78,2,96
v SOUGENMU v,22KK,,,,,,,
DASH (FORWARD),PP,,,,,,,
DASH (BACKWARD),4PP,,,,,,,
AIR-DASH (FORWARD),8>PP,,,,,,,
AIR-DASH (BACKWARD),8>4PP,,,,,,,
JUMP (FORWARD),9,,,,,,,
JUMP (NEUTRAL),8,,,,,,,
JUMP (BACKWARD),7,,,,,,,
SUPER-JUMP (FORWARD),29,,,,,,,
SUPER-JUMP (NEUTRAL),28,,,,,,,
SUPER-JUMP (BACKWARD),27,,,,,,,
THROW,4/6HP,,,,,,,
THROW (AIR),8>4/6HP,,,,,,,
LP,5LP,,,,,,,
HP,5HP,,,,,,,
LK,5LK,,,,,,,
HK,5HK,,,,,,,
CROUCH LP,2LP,,,,,,,
CROUCH HP,2HP,,,,,,,
CROUCH LK,2LK,,,,,,,
CROUCH HK,2HK,,,,,,,
JUMP LP,8LP,,,,,,,
JUMP HP,8HP,,,,,,,
JUMP LK,8LK,,,,,,,
JUMP HK,8HK,,,,,,,
YOUDANTOTSU,6LP,,,,,,,
SHIPPUUGA,6HP,,,,,,,
RESHOUKYAKU,6HK,,,,,,,
KOKETSUGA,3HP,,,,,,,
KUUENZAN,8>4HP,,,,,,,
RASENKYAKU,8>6HK,,,,,,,
HIENKYAKU (LP),214LP,,,,,,,
